word	definition
plana	x₁ (Entity) is plump or fat or obese by standard x₂ (Entity)
platu	x₁ (Entity) plans or designs or plots plan x₂ (Entity) for state or process x₃ (nu, Event)
pleji	x₁ (Entity) pays or compensates payment x₂ (ka, Property of x₁) to recipient x₃ (Entity) for goods or services x₄ (ka, Property of x₃)
plibu	x₁ (Entity) is a pubic area or external genitalia body-part of x₂ (Organism)
plini	x₁ (Entity) is a planet revolving around x₂ (Entity) with characteristics x₃ (Entity) and orbital parameters x₄ (Entity)
plipe	x₁ (Entity) leaps or jumps to x₂ (Location or Entity) from x₃ (Location or Entity) reaching height or route x₄ (Entity) propelled by x₅ (Entity)
plise	x₁ (Entity) is an apple fruit of species x₂ (Taxon)
plita	x₁ (Entity) is a plane two-dimensional shape defined by points x₂ (Set<Entity>)
plixa	x₁ (Entity) plows or furrows or tills x₂ (Entity) with tool x₃ (Entity) propelled by x₄ (Entity)
pluja	x₁ (Entity) is complex or complicated or involved in aspect x₂ (ka, Property of x₁) by standard x₃ (Entity)
pluka	x₁ (nu, Event or State) seems pleasant to or pleases x₂ (Entity) under conditions x₃ (nu, Event)
pluta	x₁ (Entity) is a route or path or way or course or track to x₂ (Location or Entity) from x₃ (Location or Entity) via points x₄ (Set<Location> or Set<Entity>)
polje	x₁ (Entity or Force) folds or creases x₂ (Entity) at locus forming bend x₃ (Entity)
polno	x₁ (Entity) reflects Polynesian or Oceanian culture or nationality or languages in aspect x₂ (ka, Property of x₁)
ponjo	x₁ (Entity) reflects Japanese culture or nationality or language in aspect x₂ (ka, Property of x₁)
ponse	x₁ (Entity) possesses or owns x₂ (Entity) under law or custom x₃ (Entity)
porpi	x₁ (Entity) breaks or fractures or shatters into pieces x₂ (Entity or Group<Entity>)
porsi	x₁ (Sequence<Entity>) is an ordered set sequenced by rules x₂ (Relation<Pair<members of x₁>>) on unordered set x₃ (Set<Entity>)
porto	x₁ (Entity) reflects Portuguese culture or nationality or language in aspect x₂ (ka, Property of x₁)
prali	x₁ (ka, Property of x₂) is a profit or gain or benefit or advantage to x₂ (Entity) resulting from activity or process x₃ (ka, Property of x₂)
prami	x₁ (Entity) loves or feels strong affection towards x₂ (Entity or nu, State)
prane	x₁ (Entity) is perfect or ideal or faultless in property x₂ (ka, Property of x₁)
preja	x₁ (Entity) spreads or expands over x₂ (Entity) from initial state x₃ (Entity or nu, State)
prenu	x₁ (Entity) is a person or displays personality
preti	x₁ (Text) is a question or query about subject x₂ (Entity) by questioner x₃ (Entity) to audience x₄ (Entity or Group<Entity>)
prije	x₁ (Entity) is wise about matter x₂ (Abstraction) to observer x₃ (Entity)
prina	x₁ (Entity) is a print or impression or image on surface x₂ (Entity) made by tool or press x₃ (Entity)
pritu	x₁ (Entity) is to the right of x₂ (Entity) which faces orientation x₃ (Entity)
prosa	x₁ (Text) is prose about subject x₂ (Entity) by author x₃ (Entity) for audience x₄ (Entity or Group<Entity>)
pruce	x₁ (Entity) is a process with inputs x₂ (Entity or Group<Entity>) and outputs x₃ (Entity or Group<Entity>) via stages x₄ (Sequence<Entity> or Group<Entity>)
pruni	x₁ (Entity) is elastic or springy
pruxi	x₁ (Entity) is spiritual or pertains to the soul in nature
pulce	x₁ (Entity) is dust or precipitate of material x₂ (Entity) in medium or on surface x₃ (Entity)
pulji	x₁ (Entity) is a police officer enforcing laws or rules x₂ (Entity)
pulni	x₁ (Entity) is a pulley tool for performing action x₂ (nu, Event) rotating on axle x₃ (Entity)
punji	x₁ (Entity) puts or places or sets x₂ (Entity) on or at locus x₃ (Entity)
punli	x₁ (Entity) is a swelling or protrusion or convexity at or on x₂ (Entity) of material x₃ (Entity)
purci	x₁ (nu, Event) is earlier than or in the past of x₂ (nu, Event)
purdi	x₁ (Location) is a garden or cultivated field of x₂ (Entity or Group<Entity>) growing plants or crops x₃ (Entity or Group<Entity>)
purmo	x₁ (Entity) is a powder of material x₂ (Entity)
racli	x₁ (nu, Event or ka, Property of x₁) is sane or rational by standard x₂ (si'o, Standard)
ractu	x₁ (Organism) is a rabbit or hare of species x₂ (Taxon)
radno	x₁ (Entity) is x₂ (Number) radians in angular measure by standard x₃ (si'o, Standard)
rafsi	x₁ (Text) is an affix or suffix or prefix for word or concept x₂ (Text or Entity) with form x₃ (Entity) in language x₄ (Language)
ragve	x₁ (Entity) is across or on the other side of boundary x₂ (Entity) from x₃ (Entity)
rakso	x₁ (Entity) reflects Iraqi culture or nationality in aspect x₂ (ka, Property of x₁)
raktu	x₁ (Entity or nu, Event or Situation) troubles or disturbs person x₂ (Entity) causing problems x₃ (Entity or nu, Event)
ralci	x₁ (Entity) is delicate or fragile or refined in property x₂ (ka, Property of x₁)
ralju	x₁ (Entity) is principal or chief or main among set x₂ (Set<Entity>) in property x₃ (ka, Property of x₁)
ralte	x₁ (Entity) retains or keeps or holds x₂ (Entity) in its possession
randa	x₁ (Entity) yields or gives way or surrenders to x₂ (Entity or Force) under conditions x₃ (nu, Event)
rango	x₁ (Entity) is a body organ body-part of body or species x₂ (Entity) performing function x₃ (ka, Property of x₁)
ranji	x₁ (ka, Property of x₂) continues or persists over interval x₂ (TimeInterval)
ranmi	x₁ (Text) is a myth or legend about x₂ (Entity) in mythos x₃ (Entity) of culture x₄ (Entity)
ransu	x₁ (Entity) is a quantity of or contains or is made of bronze of composition including x₂ (Entity)
ranti	x₁ (Entity) is soft or malleable or yielding to force x₂ (nu, Event or Entity) in conditions x₃ (nu, Event)
ranxi	x₁ (Entity) is ironic or contrary to expectation x₂ (Entity) in state or property x₃ (ka, Property of x₁)
rapli	x₁ (nu, Event) repeats for total occurrences x₂ (Number)
rarna	x₁ (Entity) is natural or spontaneous or instinctive not consciously caused by persons
ratcu	x₁ (Organism) is a rat of species x₂ (Taxon)
ratni	x₁ (Entity) is an atom of element x₂ (Number) of isotope number or atomic weight x₃ (Entity or Number)
rebla	x₁ (Entity) is a tail or appendix body-part of x₂ (Organism)
rectu	x₁ (Entity) is a quantity of or contains meat or flesh from source x₂ (Entity)
remna	x₁ (Entity) is a human being
renro	x₁ (Entity) throws or launches or casts or hurls x₂ (Entity) to or at direction x₃ (Entity)
renvi	x₁ (Entity) survives or endures or abides through x₂ (nu, Event) for duration x₃ (TimeInterval or Entity)
respa	x₁ (Organism) is a reptile of species x₂ (Taxon)
ricfu	x₁ (Entity) is rich or wealthy in goods or possessions x₂ (Entity or Group<Entity>) 
rigni	x₁ (Entity or nu, Event) is repugnant or causes disgust to x₂ (Entity) under conditions x₃ (nu, Event)
rijno	x₁ (Entity) is a quantity of or contains or is made of silver including x₂ (Entity)
rilti	x₁ (Sequence<Sound> or Sequence<Text>) is a rhythm or beat of music or expressive form x₂ (Entity)
rimni	x₁ (Text) rhymes or alliterates with x₂ (Text) in language or phonetics x₃ (Language or Entity) with correspondence x₄ (ka, Relation<x₁, x₂>)
rinci	x₁ (Entity) liquid drains or strains or flushes from source x₂ (Entity) through drain x₃ (Entity) by force x₄ (Entity or nu, Event)
rinju	x₁ (Entity) is restrained or held or constrained by restraint x₂ (Entity) against event x₃ (nu, Event)
rinka	x₁ (nu, Event or State) physically causes effect x₂ (nu, Event or State) under conditions x₃ (nu, Event)
rinsa	x₁ (Entity) greets or hails or welcomes x₂ (Entity) in manner x₃ (nu, Event)
rirci	x₁ (Entity) is rare or uncommon in property x₂ (ka, Property of x₁) among members of set x₃ (Set<Entity>)
rirni	x₁ (Entity) is a parent of or raises or rears x₂ (Entity)
rirxe	x₁ (Entity) is a river of land mass x₂ (Entity) draining watershed x₃ (Entity) into x₄ (Entity)
rismi	x₁ (Entity) is a quantity of rice grain of strain x₂ (Taxon)
risna	x₁ (Entity) is a heart body-part of x₂ (Organism)
ritli	x₁ (Entity) is a rite or ceremony or ritual for purpose x₂ (Entity or nu, Event) in community x₃ (Group<Entity>) with form or rules x₄ (Entity)
rivbi	x₁ (Entity) avoids or evades or escapes fate x₂ (nu, Event) through action or state x₃ (ka, Property of x₁)
rokci	x₁ (Entity) is a quantity of or contains or is made of rock or stone of composition x₂ (Entity) from location x₃ (Location)
romge	x₁ (Entity) is a polished reflective metallic surface of metal x₂ (Entity)
ropno	x₁ (Entity) reflects European culture or nationality or geography or Indo-European languages in aspect x₂ (ka, Property of x₁)
rorci	x₁ (Entity) engenders or procreates or begets x₂ (Entity) with coparent x₃ (Entity)
rotsu	x₁ (Entity) is thick in dimension x₂ (ka, Property of x₁) by standard x₃ (si'o, Standard)
rozgu	x₁ (Entity) is a rose flower of species x₂ (Taxon)
ruble	x₁ (Entity) is weak or feeble or frail in property x₂ (ka, Property of x₁) by standard x₃ (si'o, Standard)
rufsu	x₁ (Entity) is rough or coarse or uneven in texture
runme	x₁ (Entity) melts at temperature x₂ (Number) and pressure x₃ (Number)
runta	x₁ (Entity) dissolves in solvent x₂ (Entity) forming solution x₃ (Entity) under conditions x₄ (nu, Event)
rupnu	x₁ (Entity) is measured in major money units as quantity x₂ (Number) in monetary system x₃ (Entity)
rusko	x₁ (Entity) reflects Russian culture or nationality or language in aspect x₂ (ka, Property of x₁)
rutni	x₁ (Entity) is an artifact made or caused by people of culture x₂ (Entity)
sabji	x₁ (Entity) provides or supplies x₂ (Entity) to recipient x₃ (Entity)
sabnu	x₁ (Entity) is a cabin of vehicle x₂ (Entity)
sacki	x₁ (Entity) is a match incendiary device made of material x₂ (Entity)
saclu	x₁ (Text) is the decimal or binary equivalent of fractional expression x₂ (Text) in base x₃ (Number)
sadjo	x₁ (Entity) reflects Saudi Arabian culture or nationality in aspect x₂ (ka, Property of x₁)
sakci	x₁ (Entity) sucks fluid or gas x₂ (Entity) relative to high pressure x₃ (Entity)
sakli	x₁ (Entity) slides or slips or glides on surface x₂ (Entity)
sakta	x₁ (Entity) is a quantity of or contains or is made of sugar from source x₂ (Entity) of composition x₃ (Entity)
salci	x₁ (Entity) celebrates or honors x₂ (Entity or nu, Event) with activity x₃ (ka, Property of x₁ or Group<Entity>)
salpo	x₁ (Entity) is sloped or inclined with angle x₂ (Entity or Number) to frame x₃ (Entity)
salta	x₁ (Group<Entity>) is a quantity of salad food with ingredients including x₂ (Group<Entity>)
samcu	x₁ (Entity) is a quantity of cassava or taro or yam edible starchy root of species x₂ (Taxon)
sampu	x₁ (Entity) is simple or unmixed or uncomplicated in property x₂ (ka, Property of x₁)
sance	x₁ (Sound) is sound produced by x₂ (Entity)
sanga	x₁ (Entity) sings or chants song x₂ (Sound or Text) to audience x₃ (Entity or Group<Entity>)
sanji	x₁ (Entity) is conscious or aware of x₂ (Entity or Abstraction)
sanli	x₁ (Entity) stands on surface x₂ (Entity) supported by limbs or support x₃ (Entity)
sanmi	x₁ (Group<Entity>) is a meal composed of dishes including x₂ (Group<Entity>)
sanso	x₁ (Entity) is a sauce or topping or gravy for use with x₂ (Entity) containing ingredients including x₃ (Entity)
santa	x₁ (Entity) is an umbrella or parasol shielding x₂ (Entity) from x₃ (Entity) made of material x₄ (Entity) supported by x₅ (Entity)
sarcu	x₁ (Abstraction) is necessary or required for state or process x₂ (nu, Event or State) under conditions x₃ (nu, Event)
sarji	x₁ (Entity) supports or holds up or helps x₂ (Entity or nu, Event) against force x₃ (Entity or nu, Event) by means x₄ (Entity)
sarlu	x₁ (Entity) is a spiral or helix or whorl shape with limits x₂ (Entity) and dimensionality x₃ (Number)
sarxe	x₁ (Entity) is harmonious or in agreement with x₂ (Entity) in property x₃ (ka, Relation<x₁, x₂>)
saske	x₁ (Group<Entity>) is a science or body of knowledge about subject matter x₂ (Entity) based on methodology x₃ (nu, Event)
satci	x₁ (Entity) is exact or precise to precision x₂ (Entity or Number) in property or quantity x₃ (ka, Property of x₁)
satre	x₁ (Entity) strokes or rubs or pets x₂ (Entity) with x₃ (Entity)
savru	x₁ (Sound) is a noise to x₂ (Entity) via sensory channel x₃ (Entity)
sazri	x₁ (Entity) operates or drives or runs apparatus x₂ (Entity) with goal x₃ (nu, Event)
sefta	x₁ (Entity) is a surface or face of higher-dimensional object x₂ (Entity) on side x₃ (Entity) with edges x₄ (Entity)
selci	x₁ (Entity) is a cell or basic subunit of x₂ (Entity)
selfu	x₁ (Entity) serves x₂ (Entity) with service x₃ (nu, Event)
semto	x₁ (Entity) reflects Semitic language or culture or nationality in aspect x₂ (ka, Property of x₁)
senci	x₁ (Entity) sneezes
senpi	x₁ (Entity) doubts that x₂ (du'u, Proposition) is true
senta	x₁ (Entity) is a layer or stratum of material x₂ (Entity) within structure x₃ (Entity)
senva	x₁ (Entity) dreams about x₂ (du'u, Proposition or Idea) 
sepli	x₁ (Entity) is apart or separate from x₂ (Entity) separated by x₃ (Entity)
serti	x₁ (Entity) is stairs or stairway or steps for climbing structure x₂ (Entity) with steps x₃ (Entity)
setca	x₁ (Entity) inserts or interposes or puts x₂ (Entity) into interior x₃ (Entity)
sevzi	x₁ (Entity) is a self or ego or identity-image of x₂ (Entity)
sfani	x₁ (Organism) is a fly of species x₂ (Taxon)
sfasa	x₁ (Entity) punishes x₂ (Entity) for infraction x₃ (nu, Event or State) with punishment x₄ (nu, Event or State)
sfofa	x₁ (Entity) is a sofa or couch
sfubu	x₁ (Entity) dives or swoops to x₂ (Location or Entity) from x₃ (Location or Entity)
siclu	x₁ (Entity) whistles sound x₂ (Sound)
sicni	x₁ (Entity) is a coin or token issued by x₂ (Entity) having value x₃ (Number or Entity) of composition including x₄ (Entity)
sidbo	x₁ (si'o, Idea) is an idea or concept or thought about x₂ (Entity or Abstraction) by thinker x₃ (Entity)
sidju	x₁ (Entity) helps or assists or aids x₂ (Entity) to do event or activity x₃ (nu, Event)
sigja	x₁ (Entity) is a cigar or cigarette made from tobacco or smokable substance x₂ (Entity) by x₃ (Entity)
silka	x₁ (Entity) is a quantity of or contains or is made of silk produced by x₂ (Entity)
silna	x₁ (Entity) is a quantity of or contains or is made of salt from source x₂ (Entity) of composition including x₃ (Entity)
simlu	x₁ (Entity) seems or appears to have properties x₂ (ka, Property of x₁) to observer x₃ (Entity) under conditions x₄ (nu, Event)
simsa	T: Entity. x₁ (T) is similar or parallel to x₂ (T) in property or quantity x₃ (ka, Property of x₁)
simxu	x₁ (Set<Entity>) has members who mutually do x₂ (Relation<Pair<members of x₁>>) to each other
since	x₁ (Organism) is a snake or serpent of species x₂ (Taxon)
sinma	x₁ (Entity) esteems or respects or venerates x₂ (Entity)
sinso	x₁ (Number) is the trigonometric sine of angle x₂ (Number)
sinxa	x₁ (Entity or Text) is a sign or symbol or signal representing x₂ (Entity or Abstraction) to observer x₃ (Entity)
sipna	x₁ (Entity) is asleep
sirji	x₁ (Entity) is straight or a direct line segment between x₂ (Entity) and x₃ (Entity)
sirxo	x₁ (Entity) reflects Syrian culture or nationality in aspect x₂ (ka, Property of x₁)
sisku	x₁ (Entity) seeks or searches for property x₂ (ka, Property of member of set x₃) among set x₃ (Set<Entity>)
sisti	x₁ (Entity) ceases or stops or halts activity or process or state x₂ (nu, Event or State)
sitna	x₁ (Entity) cites or quotes or refers to source x₂ (Entity) for information x₃ (du'u, Proposition)
sivni	x₁ (Entity) is private or personal to x₂ (Entity)
skaci	x₁ (Entity) is a skirt or kilt or dress of material x₂ (Entity)
skami	x₁ (Entity) is a computer for purpose x₂ (nu, Event)
skapi	x₁ (Entity) is a pelt or skin or hide or leather from x₂ (Entity)
skari	x₁ (Entity) is or appears to be of color x₂ (Entity) as perceived by x₃ (Entity) under conditions x₄ (nu, Event)
skicu	x₁ (Entity) tells about or describes object or event or state x₂ (Entity or nu, Event or State) to audience x₃ (Entity or Group<Entity>) with description x₄ (ka, Property of x₂)
skiji	x₁ (Entity) is a ski or skid or skate for surface x₂ (Entity) supporting x₃ (Entity)
skina	x₁ (Entity) is a cinema or movie or film about x₂ (Entity) by filmmaker x₃ (Entity) for audience x₄ (Entity or Group<Entity>)
skori	x₁ (Entity) is cord or cable or rope of material x₂ (Entity)
skoto	x₁ (Entity) reflects Gaelic or Scottish culture or nationality or language in aspect x₂ (ka, Property of x₁)
skuro	x₁ (Entity) is a groove or trench or furrow in object or surface x₂ (Entity)
slabu	x₁ (Entity) is old or familiar or well-known to observer x₂ (Entity) in feature x₃ (ka, Property of x₁) by standard x₄ (si'o, Standard)
slaka	x₁ (Text) is a syllable in language x₂ (Language)
slami	x₁ (Entity) is a quantity of or contains or is made of acid of composition x₂ (Entity)
slanu	x₁ (Entity) is a cylinder shape of material x₂ (Entity)
slari	x₁ (Entity) is sour or tart to observer x₂ (Entity)
slasi	x₁ (Entity) is a quantity of or contains or is made of plastic of type x₂ (Entity)
sligu	x₁ (Entity) is solid of composition including x₂ (Entity) under conditions x₃ (nu, Event)
slilu	x₁ (Entity) oscillates at frequency x₂ (Number or Entity) through states x₃ (Sequence<Entity> or Set<Entity>)
sliri	x₁ (Entity) is a quantity of or contains or is made of sulfur x₂ (Entity)
slovo	x₁ (Entity) reflects Slavic language or culture or ethos in aspect x₂ (ka, Property of x₁)
sluji	x₁ (Entity) is a muscle body-part controlling x₂ (Entity) of body x₃ (Entity)
sluni	x₁ (Entity) is a quantity of or contains onions of type x₂ (Taxon)
smacu	x₁ (Organism) is a mouse of species x₂ (Taxon)
smadi	x₁ (Entity) guesses or conjectures that x₂ (du'u, Proposition) is true about subject x₃ (Entity)
smaji	x₁ (Entity) is quiet or silent at observation point x₂ (Entity) by standard x₃ (si'o, Standard)
smani	x₁ (Organism) is a monkey or ape of species x₂ (Taxon)
smoka	x₁ (Entity) is a sock or stocking garment of material x₂ (Entity)
smuci	x₁ (Entity) is a spoon or scoop tool for use x₂ (nu, Event) made of material x₃ (Entity)
smuni	x₁ (Entity) is a meaning or interpretation of x₂ (Entity or Text) recognized by x₃ (Entity)
snada	x₁ (Entity) succeeds in or achieves or completes x₂ (ka, Property of x₁) as result of effort x₃ (ka, Property of x₁)
snanu	x₁ (Entity) is to the south of x₂ (Entity) according to frame x₃ (Entity)
snidu	x₁ (TimeInterval) is x₂ (Number) seconds in duration by standard x₃ (si'o, Standard)
snime	x₁ (Entity) is a quantity of or contains snow
snipa	x₁ (Entity) adheres or sticks to x₂ (Entity)
snuji	x₁ (Entity) is a sandwich or layering of x₂ (Entity) sandwiched between x₃ (Group<Entity>)
snura	x₁ (Entity) is secure or safe from threat x₂ (nu, Event)
snuti	x₁ (nu, Event or State) is an accident or unintentional event on the part of x₂ (Entity)
sobde	x₁ (Entity) is a quantity of soya grain of species x₂ (Taxon)
sodna	x₁ (Entity) is a quantity of or contains or is made of alkali metal of type x₂ (Entity)
sodva	x₁ (Entity) is a quantity of or contains or is made of carbonated beverage of flavor or brand x₂ (Entity)
softo	x₁ (Entity) reflects Soviet or CIS culture or nationality in aspect x₂ (ka, Property of x₁)
solji	x₁ (Entity) is a quantity of or contains or is made of gold of composition including x₂ (Entity)
solri	x₁ (Entity) is the sun of home planet x₂ (Entity) of race x₃ (Entity)
sombo	x₁ (Entity) sows or plants crop x₂ (Entity) at location x₃ (Location)
sonci	x₁ (Entity) is a soldier or warrior of army x₂ (Group<Entity>)
sorcu	x₁ (Entity) is a store or deposit or supply of materials or energy x₂ (Entity or Group<Entity>) in containment x₃ (Entity)
sorgu	x₁ (Entity) is a quantity of sorghum of species x₂ (Taxon)
sovda	x₁ (Entity) is an egg or gamete of organism x₂ (Organism)
spaji	x₁ (nu, Event) surprises or startles x₂ (Entity)
spali	x₁ (Entity) polishes object or surface x₂ (Entity) with polish x₃ (Entity) using tool x₄ (Entity)
spano	x₁ (Entity) reflects Spanish-speaking culture or nationality or language in aspect x₂ (ka, Property of x₁)
spati	x₁ (Organism) is a plant of species x₂ (Taxon)
speni	x₁ (Entity) is married to x₂ (Entity) under system x₃ (Entity)
spisa	x₁ (Entity) is a piece or portion or lump or chunk or particle of substance x₂ (Entity)
spita	x₁ (Location) is a hospital treating patient x₂ (Entity) for condition x₃ (nu, Event or ka, Property of x₂)
spofu	x₁ (Entity) is broken or inoperable for function x₂ (ka, Property of x₁ or nu, Event)
spoja	x₁ (nu, Event) bursts or explodes into pieces x₂ (Entity)
spuda	x₁ (Entity) replies or responds to stimulus x₂ (Entity or nu, Event) with response x₃ (Entity or nu, Event)
sputu	x₁ (Entity) spits or expectorates x₂ (Entity) from x₃ (Entity) to x₄ (Entity)
sraji	x₁ (Entity) is vertical or upright or erect in reference frame or gravity x₂ (Entity)
sraku	x₁ (Entity) scratches or carves or erodes or cuts into x₂ (Entity)
sralo	x₁ (Entity) reflects Australian culture or nationality or geography or dialect in aspect x₂ (ka, Property of x₁)
srana	x₁ (Entity) pertains to or is relevant to or concerns x₂ (Entity)
srasu	x₁ (Entity) is a blade or expanse of grass of species x₂ (Taxon)
srera	x₁ (Entity) errs in doing event x₂ (nu, Event) under conditions x₃ (nu, Event) by standard x₄ (Entity)
srito	x₁ (Entity) reflects Sanskrit language or culture or nationality in aspect x₂ (ka, Property of x₁)
sruma	x₁ (Entity) assumes or supposes that x₂ (du'u, Proposition) is true about subject x₃ (Entity)
sruri	x₁ (Entity) encircles or encloses or surrounds x₂ (Entity) in direction or dimension or plane x₃ (Entity)
stace	x₁ (Entity) is honest or truthfully revealing to x₂ (Entity) about matter x₃ (du'u, Proposition)
stagi	x₁ (Entity) is an edible portion x₂ (Entity) of plant x₃ (Entity)
staku	x₁ (Entity) is a quantity of or contains or is made of ceramic made by x₂ (Entity) of composition x₃ (Entity) in form x₄ (Entity)
stali	x₁ (Entity) remains or stays or abides with x₂ (Entity)
stani	x₁ (Entity) is a stalk or stem or trunk body-part of plant x₂ (Entity)
stapa	x₁ (Entity) steps or treads on surface x₂ (Entity) using limbs x₃ (Entity)
stasu	x₁ (Group<Entity>) is a quantity of soup or stew with ingredients including x₂ (Group<Entity>)
stati	x₁ (Entity) has a talent or aptitude for doing or being x₂ (ka, Property of x₁ or nu, Event)
steba	x₁ (Entity) feels frustration about x₂ (Abstraction)
steci	x₁ (ka, Property of x₂) is specific or particular or defining property of x₂ (Entity) among set x₃ (Set<Entity>)
stedu	x₁ (Entity) is a head body-part of x₂ (Organism)
stela	x₁ (Entity) is a lock or seal of or for sealing x₂ (Entity) with mechanism x₃ (Entity)
stero	x₁ (Entity) is x₂ (Number) steradians in solid angle by standard x₃ (si'o, Standard)
stici	x₁ (Entity) is to the west of x₂ (Entity) according to frame x₃ (Entity)
stidi	x₁ (Entity) suggests or proposes idea or action x₂ (Entity or nu, Event) to audience x₃ (Entity or Group<Entity>)
stika	x₁ (nu, Event) adjusts or regulates or changes property or amount x₂ (ka, Property of x₁) in degree x₃ (Entity)
stizu	x₁ (Entity) is a chair or stool or seat or bench
stodi	x₁ (Entity) is constant or unchanging in property x₂ (ka, Property of x₁) in response to conditions x₃ (nu, Event)
stuna	x₁ (Entity) is to the east of x₂ (Entity) according to frame x₃ (Entity)
stura	x₁ (Entity) is a structure or arrangement or organization of x₂ (Entity or Set<Entity>)
stuzi	x₁ (Location) is an inherent site or place or position or location of x₂ (Entity or nu, Event)
sucta	x₁ (si'o, Idea) is abstracted or generalized from x₂ (Entity) by rules x₃ (Entity)
sudga	x₁ (Entity) is dry of liquid x₂ (Entity)
sufti	x₁ (Entity) is a hoof body-part of x₂ (Organism)
suksa	x₁ (nu, Event or State) is sudden or sharply changes at point x₂ (ka, Property of x₂) in process x₃ (ka, Property of x₂)
sumji	x₁ (Number) is the sum of x₂ (Number) and x₃ (Number)
sumne	x₁ (Entity) smells x₂ (Entity)
sumti	x₁ (Text) is an argument of predicate or function x₂ (Entity or Text) filling place x₃ (Text)
sunga	x₁ (Entity) is a quantity of garlic of species x₂ (Taxon)
sunla	x₁ (Entity) is a quantity of or made from or consists of wool from animal x₂ (Organism)
surla	x₁ (Entity) relaxes or rests by doing x₂ (ka, Property of x₁ or nu, Event)
sutra	x₁ (Entity) is fast or swift or quick at doing or bringing about x₂ (nu, Event or State)
tabno	x₁ (Entity) is a quantity of or contains or is made of carbon of composition including x₂ (Entity)
tabra	x₁ (Entity) is a horn or trumpet or trombone or bugle musical instrument
tadji	x₁ (nu, Process) is a method or technique or approach for doing x₂ (nu, Event) under conditions x₃ (nu, Event)
tadni	x₁ (Entity) studies subject x₂ (Entity)
tagji	x₁ (Entity) is snug or tight on x₂ (Entity) in dimension x₃ (Entity) at locus x₄ (Entity)
talsa	x₁ (Entity) challenges x₂ (Entity) at property x₃ (ka, Property of x₂)
tamca	x₁ (Entity) is a tomato fruit or plant of species x₂ (Taxon)
tamji	x₁ (Entity) is a thumb or big toe body-part on limb x₂ (Entity) of x₃ (Entity)
tamne	x₁ (Entity) is a cousin to x₂ (Entity) by bond x₃ (Entity)
tanbo	x₁ (Entity) is a board or plank shape of material x₂ (Entity)
tance	x₁ (Entity) is a tongue body-part of x₂ (Organism)
tanjo	x₁ (Number) is the trigonometric tangent of angle x₂ (Number)
tanko	x₁ (Entity) is a quantity of tobacco leaf of species x₂ (Taxon)
tanru	x₁ (Text) is a binary metaphor formed with x₂ (Text or si'o, Idea) modifying x₃ (Text or si'o, Idea) giving meaning x₄ (Entity) in usage x₅ (Entity)
tansi	x₁ (Entity) is a pan or basin or tub or sink shallow container for contents x₂ (Entity) of material x₃ (Entity)
tanxe	x₁ (Entity) is a box or carton or trunk or crate for contents x₂ (Entity) of material x₃ (Entity)
tapla	x₁ (Entity) is a tile or cake shape of material x₂ (Entity) with shape x₃ (Entity) and thickness x₄ (Entity)
tarbi	x₁ (Entity) is an embryo or zygote or fetus or fertilized egg with mother x₂ (Entity) and father x₃ (Entity)
tarci	x₁ (Entity) is a star or sun with stellar properties x₂ (Entity)
tarla	x₁ (Entity) is a quantity of or contains or is made of tar or asphalt from source x₂ (Entity)
tarmi	x₁ (Entity or si'o, Idea) is the conceptual shape or form of object or abstraction x₂ (Entity or Abstraction)
tarti	x₁ (Entity) behaves as manner x₂ (ka, Property of x₁ or nu, Event) under conditions x₃ (nu, Event)
taske	x₁ (Entity) thirsts for x₂ (Entity)
tatpi	x₁ (Entity) is tired or fatigued by effort x₂ (nu, Event)
tatru	x₁ (Entity) is a breast or mammary or teat body-part of x₂ (Organism)
tavla	x₁ (Entity) talks or speaks to x₂ (Entity) about subject x₃ (Entity or Text) in language x₄ (Language)
taxfu	x₁ (Entity) is a garment or clothing for wearing by x₂ (Entity) serving purpose x₃ (nu, Event)
tcaci	x₁ (Entity) is a custom or habit of x₂ (Entity) under conditions x₃ (nu, Event)
tcadu	x₁ (Location) is a town or city of metropolitan area x₂ (Location) in political unit x₃ (Entity) serving region x₄ (Location)
tcana	x₁ (Entity) is a station or node of system x₂ (Entity)
tcati	x₁ (Entity) is a quantity of or contains or is made of tea brewed from leaves x₂ (Entity)
tcena	x₁ (Entity) stretches or extends to range x₂ (Entity) in dimension x₃ (Entity) from relaxed range x₄ (Entity)
tcica	x₁ (nu, Event or Experience) misleads or deceives x₂ (Entity) into x₃ (nu, Event or State)
tcidu	x₁ (Entity) reads text x₂ (Text) from surface x₃ (Entity)
tcika	x₁ (Entity) is the time of state or event x₂ (nu, Event) on day x₃ (TimeInterval) at location x₄ (Location)
tcila	x₁ (Entity) is a detail or feature of x₂ (Entity)
tcima	x₁ (Entity) is weather at place x₂ (Location)
tcini	x₁ (ka, Property of x₂) is a situation or condition or circumstance of x₂ (nu, Event)
tcita	x₁ (Entity) is a label or tag of x₂ (Entity) showing information x₃ (ka, Property of x₂ or du'u, Proposition)
temci	x₁ (TimeInterval) is the time-duration or interval or period from time or event x₂ (nu, Event) to time or event x₃ (nu, Event)
tenfa	x₁ (Number) is the exponential result of base x₂ (Number) to power or exponent x₃ (Number)
tengu	x₁ (ka, Property of x₂) is a texture of x₂ (Entity)
terdi	x₁ (Location) is the Earth or home planet of race x₂ (Taxon or Group<Organism>)
terpa	x₁ (Entity) fears x₂ (Entity or nu, Event); x₂ is fearsome or frightening to x₁
