lojbo	lojbo gi'e nu'o bredi	glico
ni'o «lu .o'i pa'e –sei la noltruni'u ca lo nu darxi lo loldi lo jamfu cu krixa– do .a lo stedu be do cu .ei se vimcu .i go'i ze'i pi mu lo no temci .i ko cuxna li'u»	ni'o lu .o'i pa'e –sei la noltruni'u ca lo nu darxi lo loldi lo jamfu cu krixa– do .a lo stedu be do cu .ei se vimcu .i go'i ze'i pi mu lo no temci .i ko cuxna li'u	Now, I give you fair warning,' shouted the Queen, stamping on the ground as she spoke; 'either you or your head must be off, and that in about half no time! Take your choice!'
ni'o la noltroni'u cu cuxna gi'e zi ba'o cliva	ni'o la noltroni'u cu cuxna gi'e zi ba'o cliva	The Duchess took her choice, and was gone in a moment.
ni'o «lu .e'u mi'o di'a kelci –sei la noltruni'u fi la .alis. cu cusku– li'u» .i la .alis. cu dukse lo ka terpa kei gi'e cusku no valsi gi'e ku'i masno jersi ny fa'a lo kelcrkroke foldi	ni'o lu .e'u mi'o di'a kelci –sei la noltruni'u fi la .alis. cu cusku– li'u .i la .alis. cu dukse lo ka terpa kei gi'e cusku no valsi gi'e ku'i masno jersi ny fa'a lo kelcrkroke foldi	Let's go on with the game,' the Queen said to Alice; and Alice was too much frightened to say a word, but slowly followed her back to the croquet-ground.
ni'o lo nu surla bu'u lo ctino cu prali lo drata vitke lo nu la noltruni'u cu nalzvati .i ku'i vy ca lo nu viska ny cu zi sutra lo nu xruti lo nu kelci .i la noltruni'u cu te pinka fi lo po'o du'u lo mokca nunlerci cu se jdima lo vy nunjmive	ni'o lo nu surla bu'u lo ctino cu prali lo drata vitke lo nu la noltruni'u cu nalzvati .i ku'i vy ca lo nu viska ny cu zi sutra lo nu xruti lo nu kelci .i la noltruni'u cu te pinka fi lo po'o du'u lo mokca nunlerci cu se jdima lo vy nunjmive	The other guests had taken advantage of the Queen's absence, and were resting in the shade: however, the moment they saw her, they hurried back to the game, the Queen merely remarking that a moment's delay would cost them their lives.
ni'o ze'a pi ro lo nunkei la noltruni'u no roi de'a damba lo drata kelci gi'e no roi de'a krixa «lu ko lo stedu ta vimcu li'u» .a «lu ko lo stedu tu vimcu li'u» .i lo se dapma be ny cu se pifygau lo sonci noi li'a de'a bargu .i ba za lo cacra be li ji'i pi mu ge no bargu cu zvati gi ro lo kelci po'u na'e bo la noltrunau .a la noltruni'u .a la .alis. cu pinfu gi'e se dapma fi lo nu se selmi'ecatra	ni'o ze'a pi ro lo nunkei la noltruni'u no roi de'a damba lo drata kelci gi'e no roi de'a krixa lu ko lo stedu ta vimcu li'u .a lu ko lo stedu tu vimcu li'u .i lo se dapma be ny cu se pifygau lo sonci noi li'a de'a bargu .i ba za lo cacra be li ji'i pi mu ge no bargu cu zvati gi ro lo kelci po'u na'e bo la noltrunau .a la noltruni'u .a la .alis. cu pinfu gi'e se dapma fi lo nu se selmi'ecatra	All the time they were playing the Queen never left off quarrelling with the other players, and shouting 'Off with his head!' or 'Off with her head!' Those whom she sentenced were taken into custody by the soldiers, who of course had to leave off being arches to do this, so that by the end of half an hour or so there were no arches left, and all the players, except the King, the Queen, and Alice, were in custody and under sentence of execution.
.i ba bo la noltruni'u cu tatpi cliva gi'e cusku fi la .alis. fe «lu xu do pu viska la jitfa cakyrespa li'u»	.i ba bo la noltruni'u cu tatpi cliva gi'e cusku fi la .alis. fe lu xu do pu viska la jitfa cakyrespa li'u	Then the Queen left off, quite out of breath, and said to Alice, 'Have you seen the Mock Turtle yet?'
ni'o «lu na go'i –sei la .alis. cu cusku– .i mi na djuno ji'a sai lo du'u ma kau jitfa cakyrespa li'u»	ni'o lu na go'i li'u se cusku la .alis. fa lu .i mi na djuno ji'a sai lo du'u ma kau jitfa cakyrespa li'u	No,' said Alice. 'I don't even know what a Mock Turtle is.'
ni'o «lu te zbasu lo jitfa cakyrespa bo stasu –sei la noltruni'u cu cusku– li'u»	ni'o lu te zbasu lo jitfa cakyrespa bo stasu –sei la noltruni'u cu cusku– li'u	It's the thing Mock Turtle Soup is made from,' said the Queen.
ni'o «lu mi pu no roi ga viska cy gi se tavla fi cy –sei la .alis. cu cusku– li'u»	ni'o lu mi pu no roi ga viska cy gi se tavla fi cy li'u se cusku la .alis.	I never saw one, or heard of one,' said Alice.
ni'o «lu .e'e mi'o klama –sei la noltruni'u cu cusku– .i ba lisri cy ri do li'u»	ni'o lu .e'e mi'o klama –sei la noltruni'u cu cusku– .i ba lisri cy ri do li'u	Come on, then,' said the Queen, 'and he shall tell you his history,'
ni'o la .alis. ca lo nu cliva cadzu cu tirna lo nu la noltrunau cu lauble voksa cusku fi lo zvati fe «lu ca'e ro do se fraxu li'u» .i «lu ri'e la'e ba'e di'u xamgu –sei .abu sezysku– .i .abu pu cinmo lo nu tolgei lo nu la noltruni'u cu minde xo kau nuncatra	ni'o la .alis. ca lo nu cliva cadzu cu tirna lo nu la noltrunau cu lauble voksa cusku fi lo zvati fe lu ca'e ro do se fraxu li'u .i fe lu ri'e la'e ba'e di'u xamgu –li'u fa .abu cusku fi lo nei fe lu .i .abu pu cinmo lo nu tolgei lo nu la noltruni'u cu minde xo kau nuncatra	As they walked off together, Alice heard the King say in a low voice, to the company generally, 'You are all pardoned.' 'Come, THAT'S a good thing!' she said to herself, for she had felt quite unhappy at the number of executions the Queen had ordered.
ni'o ba zi ku penmi la cpicinfo noi sipna mutce vreta lo se solgu'i (to .e'u ko va'o lo nu na djuno lo du'u ma kau cpicinfo cu catlu lo pixra toi) .i «lu ko sanli doi lazni –sei la noltruni'u cu cusku– .i ko klagau lo vi citno ninmu lo nu viska la jitfa cakyrespa gi'e tirna lo cy lisri .i .ei mi xruti gi'e jitro so'o nuncatra noi mi pu minde li'u» .i ny cadzu cliva la .alis. noi stali la cpicinfo .i la .alis. na mutce lo ka nelci lo jvinu be lo vi danlu .i ku'i .abu pensi lo du'u se snura dunli fa lo nu stali cy kei lo nu jersi lo cilce noltruni'u .i se ki'u bo .abu denpa	ni'o ba zi ku penmi la cpicinfo noi sipna mutce vreta lo se solgu'i (to .e'u ko va'o lo nu na djuno lo du'u ma kau cpicinfo cu catlu lo pixra toi) .i lu ko sanli doi lazni –sei la noltruni'u cu cusku– .i ko klagau lo vi citno ninmu lo nu viska la jitfa cakyrespa gi'e tirna lo cy lisri .i .ei mi xruti gi'e jitro so'o nuncatra noi mi pu minde li'u .i ny cadzu cliva la .alis. noi stali la cpicinfo .i la .alis. na mutce lo ka nelci lo jvinu be lo vi danlu .i ku'i .abu pensi lo du'u se snura dunli fa lo nu stali cy kei lo nu jersi lo cilce noltruni'u .i se ki'u bo .abu denpa	They very soon came upon a Gryphon, lying fast asleep in the sun. (IF you don't know what a Gryphon is, look at the picture.) 'Up, lazy thing!' said the Queen, 'and take this young lady to see the Mock Turtle, and to hear his history. I must go back and see after some executions I have ordered'; and she walked off, leaving Alice alone with the Gryphon. Alice did not quite like the look of the creature, but on the whole she thought it would be quite as safe to stay with it as to go after that savage Queen: so she waited.
ni'o la cpicinfo cu tsebi'o gi'e mosra lo kanla gi'e ba bo catlu la noltruni'u co'u lo nu ny na ka'e se viska kei gi'e ba bo cmila .i «lu zdile –sei la cpicinfo cu cusku– se'i se'i nai li'u»	ni'o la cpicinfo cu tsebi'o gi'e mosra lo kanla gi'e ba bo catlu la noltruni'u co'u lo nu ny na ka'e se viska kei gi'e ba bo cmila .i lu zdile –sei la cpicinfo cu cusku– se'i se'i nai li'u	The Gryphon sat up and rubbed its eyes: then it watched the Queen till she was out of sight: then it chuckled. 'What fun!' said the Gryphon, half to itself, half to Alice.
ni'o «lu ba'e ma zdile –sei la .alis. cu cusku– li'u»	ni'o lu ba'e ma zdile li'u se cusku la .alis.	What IS the fun?' said Alice.
ni'o «lu ue ba'e tu –sei la cpicinfo cu cusku– .i ro da tu xanri .i ju'o no roi selmi'ecatra da .i .ei klama li'u»	ni'o lu .ue ba'e tu –sei la cpicinfo cu cusku– .i ro da tu xanri .i ju'o no roi selmi'ecatra da .i .ei klama li'u	Why, SHE,' said the Gryphon. 'It's all her fancy, that: they never executes nobody, you know. Come on!'
ni'o «lu ro da bu'u cusku zo .ei –sei la .alis. ca lo nu masno jersi cy cu pensi– .i mi pu tai se minde no roi lo mi nunji'e li'u»	ni'o lu ro da bu'u cusku zo .ei –sei la .alis. ca lo nu masno jersi cy cu pensi– .i mi pu tai se minde no roi lo mi nunji'e li'u	Everybody says "come on!" here,' thought Alice, as she went slowly after it: 'I never was so ordered about in all my life, never!'
ni'o lo re mei pu lo nu ve'u klama cu viska la jitfa cakyrespa noi zu badri je nonkansa zutse lo cmalu ke rokci ctebi .i la .alis. ca lo nu jbize'a cu tirna lo nu jycy vruva'u tai lo nu mutce badri .i .abu carmi lo ka kecti jycy .i «lu tu ma badri –sei .abu fi la cpicinfo cu retsku– li'u» .i la cpicinfo cu spuda se pi'o lo valsi poi jibni mintu lo pu valsi ku'o «lu ro da tu xanri .i ju'o tu node badri .i .ei klama li'u»	ni'o lo re mei pu lo nu ve'u klama cu viska la jitfa cakyrespa noi zu badri je nonkansa zutse lo cmalu ke rokci ctebi .i la .alis. ca lo nu jbize'a cu tirna lo nu jycy vruva'u tai lo nu mutce badri .i .abu carmi lo ka kecti jycy .i lu tu ma badri –sei .abu fi la cpicinfo cu retsku– li'u .i la cpicinfo cu spuda se pi'o lo valsi poi jibni mintu lo pu valsi ku'o lu ro da tu xanri .i ju'o tu node badri .i .ei klama li'u	They had not gone far before they saw the Mock Turtle in the distance, sitting sad and lonely on a little ledge of rock, and, as they came nearer, Alice could hear him sighing as if his heart would break. She pitied him deeply. 'What is his sorrow?' she asked the Gryphon, and the Gryphon answered, very nearly in the same words as before, 'It's all his fancy, that: he hasn't got no sorrow, you know. Come on!'
ni'o lo re mei cu klama la jitfa cakyrespa noi catlu se pi'o lo barda je selkakclu kanla gi'e ku'i cusku no da	ni'o lo re mei cu klama la jitfa cakyrespa noi catlu se pi'o lo barda je selkakclu kanla gi'e ku'i cusku no da	So they went up to the Mock Turtle, who looked at them with large eyes full of tears, but said nothing.
ni'o «lu lo vi citno ninmu zo'u: –sei la cpicinfo cu cusku– ti djica lo nu djuno fi lo do lisri .i go'i li'u»	ni'o lu lo vi citno ninmu zo'u: –sei la cpicinfo cu cusku– ti djica lo nu djuno fi lo do lisri .i go'i li'u	This here young lady,' said the Gryphon, 'she wants for to know your history, she do.'
ni'o «lu mi ta ly tavla –sei la jitfa cakyrespa cu condi je kunti tonga cusku– .i .e'u lo re do tsebi'o gi'e nai cusku lo valsi pu lo nu mi mo'u co'e li'u»	ni'o lu mi ta ly tavla –sei la jitfa cakyrespa cu condi je kunti tonga cusku– .i .e'u lo re do tsebi'o gi'e nai cusku lo valsi pu lo nu mi mo'u co'e li'u	I'll tell it her,' said the Mock Turtle in a deep, hollow tone: 'sit down, both of you, and don't speak a word till I've finished.'
ni'o lo re mei cu tsebi'o .i no da tavla ze'a lo mentu be li so'o .i la .alis. cu pensi «lu mi na jimpe lo du'u ta ka'e mo'u co'e ta'i ma kau va'o lo nu ta na co'a co'e li'u» gi'e ku'i tolxanka denpa	ni'o lo re mei cu tsebi'o .i no da tavla ze'a lo mentu be li so'o .i la .alis. cu pensi lu mi na jimpe lo du'u ta ka'e mo'u co'e ta'i ma kau va'o lo nu ta na co'a co'e li'u gi'e ku'i tolxanka denpa	So they sat down, and nobody spoke for some minutes. Alice thought to herself, 'I don't see how he can EVEN finish, if he doesn't begin.' But she waited patiently.
ni'o «lu pu ku –sei la jitfa cakyrespa cu condi vruva'u cusku– mi jetnu cakyrespa li'u»	ni'o lu pu ku –sei la jitfa cakyrespa cu condi vruva'u cusku– mi jetnu cakyrespa li'u	Once,' said the Mock Turtle at last, with a deep sigh, 'I was a real Turtle.'
ni'o lo di'u valsi cu se jersi lo nu ze'u smaji noi zunti ke'a fa po'o lo ru'i nai me zo xyjyckryrx se krixa be la cpicinfo be'o .e lo ru'i tilju nunvruva'u be la jitfa cakyrespa .i la .alis. pu'o sa'irbi'o je cusku «lu ki'e doi prenu mi do ckire lo do cinri lisri li'u» gi'e ku'i na ka'e rivbi lo nu pensi lo du'u .ei da ji'a jersi .i se ki'u bo .abu smaji zutse gi'e cusku no da	ni'o lo di'u valsi cu se jersi lo nu ze'u smaji noi zunti ke'a fa po'o lo ru'i nai me zo xyjyckryrx se krixa be la cpicinfo be'o .e lo ru'i tilju nunvruva'u be la jitfa cakyrespa .i la .alis. pu'o sa'irbi'o je cusku lu ki'e doi prenu mi do ckire lo do cinri lisri li'u gi'e ku'i na ka'e rivbi lo nu pensi lo du'u .ei da ji'a jersi .i se ki'u bo .abu smaji zutse gi'e cusku no da	These words were followed by a very long silence, broken only by an occasional exclamation of 'Hjckrrh!' from the Gryphon, and the constant heavy sobbing of the Mock Turtle. Alice was very nearly getting up and saying, 'Thank you, sir, for your interesting story,' but she could not help thinking there MUST be more to come, so she sat still and said nothing.
ni'o «lu ca lo nu mi'a cmalu –sei la jitfa cakyrespa noi ca surla zenba gi'e ku'i ru'i nai za'o milxe vruva'u cu di'a cusku– mi'a ve ckule lo xamsi .i lo ralju cu junri je tolcitno cakyrespa gi'e se cmene «lu ractu cafmi'a li'u» mi'a li'u»	ni'o lu ca lo nu mi'a cmalu –sei la jitfa cakyrespa noi ca surla zenba gi'e ku'i ru'i nai za'o milxe vruva'u cu di'a cusku– mi'a ve ckule lo xamsi .i lo ralju cu junri je tolcitno cakyrespa gi'e se cmene lu ractu cafmi'a li'u mi'a li'u	When we were little,' the Mock Turtle went on at last, more calmly, though still sobbing a little now and then, 'we went to school in the sea. The master was an old Turtle—we used to call him Tortoise—'
ni'o «lu ki'u ma do'o te cmene ra «lu ractu cafmi'a li'u» va'o lo nu ra ge nai ractu gi nai cafmi'a –sei la .alis. cu te preti– li'u»	ni'o lu ki'u ma do'o te cmene ra lu ractu cafmi'a li'u va'o lo nu ra ge nai ractu gi nai cafmi'a –sei la .alis. cu te preti– li'u	Why did you call him Tortoise, if he wasn't one?' Alice asked.
ni'o «lu mi'a te cmene ra «lu ractu cafmi'a li'u» ki'u lo nu ra ctuca mi'a –sei la jitfa cakyrespa cu fengu cusku– .i je'u do bebna mutce li'u»	ni'o lu mi'a te cmene ra lu ractu cafmi'a li'u ki'u lo nu ra ctuca mi'a –sei la jitfa cakyrespa cu fengu cusku– .i je'u do bebna mutce li'u	We called him Tortoise because he taught us,' said the Mock Turtle angrily: 'really you are very dull!'
ni'o «lu .ei do ckeji lo nu cusku lo tai sampu preti –sei la cpicinfo cu jmina cusku– li'u» .i ba bo lo re mei cu smaji zutse gi'e catlu la .alis. uu noi cinmo lo nu bredi lo nu se tunlo lo terdi .i ba zu bo la cpicinfo cu cusku fi la jitfa cakyrespa fe «lu .e'e doi slabu ko na co'e ze'a pi ro lo donri li'u» .i jycy di'a cusku di'e	ni'o lu .ei do ckeji lo nu cusku lo tai sampu preti –sei la cpicinfo cu jmina cusku– li'u .i ba bo lo re mei cu smaji zutse gi'e catlu la .alis. .uu noi cinmo lo nu bredi lo nu se tunlo lo terdi .i ba zu bo la cpicinfo cu cusku fi la jitfa cakyrespa fe lu .e'e doi slabu ko na co'e ze'a pi ro lo donri li'u .i jycy di'a cusku di'e	You ought to be ashamed of yourself for asking such a simple question,' added the Gryphon; and then they both sat silent and looked at poor Alice, who felt ready to sink into the earth. At last the Gryphon said to the Mock Turtle, 'Drive on, old fellow! Don't be all day about it!' and he went on in these words:
ni'o «lu ke'u mi'a te ckule lo xamsi .i ju do la'e di'u na krici li'u»	ni'o lu ke'u mi'a te ckule lo xamsi .i ju do la'e di'u na krici li'u	Yes, we went to school in the sea, though you mayn't believe it—'
ni'o «lu mi no roi cusku lo se du'u mi na krici –sei la .alis. cu zunti– li'u»	ni'o lu mi no roi cusku lo se du'u mi na krici –sei la .alis. cu zunti– li'u	I never said I didn't!' interrupted Alice.
ni'o «lu do ja'a go'i –sei la jitfa cakyrespa cu cusku– li'u»	ni'o lu do ja'a go'i –sei la jitfa cakyrespa cu cusku– li'u	You did,' said the Mock Turtle.
ni'o «lu ko ri'urgau lo tance –sei la cpicinfo pu lo nu la .alis. ka'e za'u re'u tavla cu jmina cusku– li'u» .i la jitfa cakyrespa cu di'a co'e	ni'o lu ko ri'urgau lo tance –sei la cpicinfo pu lo nu la .alis. ka'e za'u re'u tavla cu jmina cusku– li'u .i la jitfa cakyrespa cu di'a co'e	Hold your tongue!' added the Gryphon, before Alice could speak again. The Mock Turtle went on.
ni'o «lu mi'a cilre fu lo xagrai .i je'u mi'a zvati lo ckule ca ro donri li'u»	ni'o lu mi'a cilre fu lo xagrai .i je'u mi'a zvati lo ckule ca ro donri li'u	We had the best of educations—in fact, we went to school every day—'
ni'o «lu mi ji'a zvati lo donri ckule –sei la .alis. cu cusku– .i .ei do na tai jgira li'u»	ni'o lu mi ji'a zvati lo donri ckule li'u se cusku la .alis. fa lu .i .ei do na tai jgira li'u	I'VE been to a day-school, too,' said Alice; 'you needn't be so proud as all that.'
ni'o «lu xu do se ctuca fo lo seljmina tercli –sei la jitfa cakyrespa cu xanka milxe retsku– li'u»	ni'o lu xu do se ctuca fo lo seljmina tercli –sei la jitfa cakyrespa cu xanka milxe retsku– li'u	With extras?' asked the Mock Turtle a little anxiously.
ni'o «lu go'i –sei la .alis. cu cusku– .i mi'a cilre fi lo fasybau .e lo zgike li'u»	ni'o lu go'i li'u se cusku la .alis. fa lu .i mi'a cilre fi lo fasybau .e lo zgike li'u	Yes,' said Alice, 'we learned French and music.'
ni'o «lu xu go'i fi lo nu lumci –sei la cakyrespa cu cusku– li'u»	ni'o lu xu go'i fi lo nu lumci –sei la cakyrespa cu cusku– li'u	And washing?' said the Mock Turtle.
ni'o «lu li'a na go'i –sei la .alis. cu fengu cusku– li'u»	ni'o lu li'a na go'i –sei la .alis. cu fengu cusku– li'u	Certainly not!' said Alice indignantly.
ni'o «lu ua lo me do moi na mutce lo ka xamgu ckule –sei la jitfa cakyrespa cu surbi'o mutce tonga cusku– .i lo dejnoi be fi lo me mi'a moi cu se fanmo «lu lo fasybau .e lo zgike ba'e .e lo nu lumci cu seljmina li'u li'u»»	ni'o lu .ua lo me do moi na mutce lo ka xamgu ckule –sei la jitfa cakyrespa cu surbi'o mutce tonga cusku– .i lo dejnoi be fi lo me mi'a moi cu se fanmo lu lo fasybau .e lo zgike ba'e .e lo nu lumci cu seljmina li'u li'u	Ah! then yours wasn't a really good school,' said the Mock Turtle in a tone of great relief. 'Now at OURS they had at the end of the bill, "French, music, AND WASHING—extra."'
ni'o «lu do na mutce lo ka nitcu ly –sei la .alis. cu cusku– va'o lo nu xabju lo xamsi loldi li'u»	ni'o lu do na mutce lo ka nitcu ly li'u la .alis. cu se cusku– fa lu va'o lo nu xabju lo xamsi loldi li'u	You couldn't have wanted it much,' said Alice; 'living at the bottom of the sea.'
ni'o «lu mi na kakne lo nu pleji –sei la jitfa cakyrespa cu vruva'u cusku– .i mi cilre lo fadni po'o li'u»	ni'o lu mi na kakne lo nu pleji –sei la jitfa cakyrespa cu vruva'u cusku– .i mi cilre lo fadni po'o li'u	I couldn't afford to learn it.' said the Mock Turtle with a sigh. 'I only took the regular course.'
ni'o «lu ri mo –sei la .alis. cu retsku– li'u»	ni'o lu ri mo –sei la .alis. cu retsku– li'u	What was that?' inquired Alice.
ni'o «lu li'a pa mai nu ctidu'e gi'e ci'iska –sei la jitfa cakyrespa cu spuda– .i re mai lo vo pagbu be lo nacycmaci be'o no'u lo nu jmina'e .e lo nu vimcu'a .e lo nu pilji'e .e lo nu fende'a li'u»	ni'o lu li'a pa mai nu ctidu'e gi'e ci'iska –sei la jitfa cakyrespa cu spuda– .i re mai lo vo pagbu be lo nacycmaci be'o no'u lo nu jmina'e .e lo nu vimcu'a .e lo nu pilji'e .e lo nu fende'a li'u	Reeling and Writhing, of course, to begin with,' the Mock Turtle replied; 'and then the different branches of Arithmetic—Ambition, Distraction, Uglification, and Derision.'
ni'o «lu mi na jimpe fi zo jmina'e –sei la .alis. cu cusku darsi– .i ki'a li'u»	ni'o lu mi na jimpe fi zo jmina'e –sei la .alis. cu cusku darsi– .i ki'a li'u	I never heard of "Uglification,"' Alice ventured to say. 'What is it?'
ni'o la cpicinfo cu spaji lafti lo re xance .i «lu ue pau nai xu na jimpe fi zo jmina'e –sei cy ki'asku– .i ru'a je'u pei do jimpe fi zo natfe li'u»	ni'o la cpicinfo cu spaji lafti lo re xance .i lu .ue pau nai xu na jimpe fi zo jmina'e –sei cy ki'asku– .i ru'a je'u pei do jimpe fi zo natfe li'u	The Gryphon lifted up both its paws in surprise. 'What! Never heard of uglifying!' it exclaimed. 'You know what to beautify is, I suppose?'
ni'o «lu go'i –sei la .alis. cu senpi cusku– .i lo du'u da de natfe cu se smuni lo du'u da .o nai de ka'e jetnu li'u»	ni'o lu go'i –sei la .alis. cu senpi cusku– .i lo du'u da de natfe cu se smuni lo du'u da .o nai de ka'e jetnu li'u	Yes,' said Alice doubtfully: 'it means—to—make—anything—prettier.'
ni'o «lu ja'o –sei la cpicinfo di'a cusku– do natfe jimpe .i do ja'a bebna va'o lo nu do na jimpe natfe jimpe li'u»	ni'o lu ja'o –sei la cpicinfo di'a cusku– do natfe jimpe .i do ja'a bebna va'o lo nu do na jimpe natfe jimpe li'u	Well, then,' the Gryphon went on, 'if you don't know what to uglify is, you ARE a simpleton.'
ni'o la .alis. na darsi lo nu za'u re'u te preti la'e di'u .i .abu fa'a la jitfa cakyrespa cu cusku «lu do cilre fi ma ji'a li'u»	ni'o la .alis. na darsi lo nu za'u re'u te preti la'e di'u .i .abu fa'a la jitfa cakyrespa cu cusku lu do cilre fi ma ji'a li'u	Alice did not feel encouraged to ask any more questions about it, so she turned to the Mock Turtle, and said 'What else had you to learn?'
ni'o «lu lo cridyske –sei la jitfa cakyrespa noi kancu lo seltadni se pi'o lo limna'i cu cusku– .i lo cridyske no'u lo prutce jo'u lo cabna ge'u .e lo xasyske .i ji'a lo nu pixra'i zo'u: lo pixra'i ctuca cu tolci'o sincyfi'e noi zvati pa roi ro jeftu .i ba'e ra ctuca fo lo nu pixra'i gi'e grasu'u cintai finti li'u»	ni'o lu lo cridyske –sei la jitfa cakyrespa noi kancu lo seltadni se pi'o lo limna'i cu cusku– .i lo cridyske no'u lo prutce jo'u lo cabna ge'u .e lo xasyske .i ji'a lo nu pixra'i zo'u: lo pixra'i ctuca cu tolci'o sincyfi'e noi zvati pa roi ro jeftu .i ba'e ra ctuca fo lo nu pixra'i gi'e grasu'u cintai finti li'u	Well, there was Mystery,' the Mock Turtle replied, counting off the subjects on his flappers, '—Mystery, ancient and modern, with Seaography: then Drawling—the Drawling-master was an old conger-eel, that used to come once a week: HE taught us Drawling, Stretching, and Fainting in Coils.'
ni'o «lu .a'u la'e di'u mo –sei la .alis. cu cusku– li'u»	ni'o lu .a'u la'e di'u mo li'u se cusku la .alis.	What was THAT like?' said Alice.
ni'o «lu ba'e mi na ka'e jarco –sei la jitfa cakyrespa cu cusku– .i mi dukse lo ka tinsa .i ji'a la cpicinfo no roi cilre li'u»	ni'o lu ba'e mi na ka'e jarco –sei la jitfa cakyrespa cu cusku– .i mi dukse lo ka tinsa .i ji'a la cpicinfo no roi cilre li'u	Well, I can't show it you myself,' the Mock Turtle said: 'I'm too stiff. And the Gryphon never learnt it.'
ni'o «lu claxu lo temci –sei la cpicinfo cu cusku– .i mi zvati lo dzeklu ctuca .i ri tolci'o cakyjukni .i ba'e ri go'i li'u»	ni'o lu claxu lo temci –sei la cpicinfo cu cusku– .i mi zvati lo dzeklu ctuca .i ri tolci'o cakyjukni .i ba'e ri go'i li'u	Hadn't time,' said the Gryphon: 'I went to the Classics master, though. He was an old crab, HE was.'
ni'o «lu mi ri no roi zvati –sei la jitfa cakyrespa cu vruva'u cusku– .i ri ctuca fo ti'e lo clacmo jo'u lo geisto li'u»	ni'o lu mi ri no roi zvati –sei la jitfa cakyrespa cu vruva'u cusku– .i ri ctuca fo ti'e lo clacmo jo'u lo geisto li'u	I never went to him,' the Mock Turtle said with a sigh: 'he taught Laughing and Grief, they used to say.'
ni'o «lu go'i .i go'i –sei la cpicinfo noi ji'a vruva'u cu cusku– li'u» .i lo re danlu cu gairgau lo vo'a xance lo vo'a flira	ni'o lu go'i .i go'i –sei la cpicinfo noi ji'a vruva'u cu cusku– li'u .i lo re danlu cu gairgau lo vo'a xance lo vo'a flira	So he did, so he did,' said the Gryphon, sighing in his turn; and both creatures hid their faces in their paws.
ni'o «lu pau do cilre ca ro donri ze'a lo cacra be li xo –sei la .alis. noi djica lo nu sutra galfi lo selsnu cu cusku– li'u»	ni'o lu pau do cilre ca ro donri ze'a lo cacra be li xo –sei la .alis. noi djica lo nu sutra galfi lo selsnu cu cusku– li'u	And how many hours a day did you do lessons?' said Alice, in a hurry to change the subject.
ni'o «lu ze'a lo cacra be li pa re ca lo pa moi donri .e lo re moi donri –sei la jitfa cakyrespa cu cusku– .i li so ca lo ci moi .e lo vo moi .i li xa ca lo mu moi .e lo xa moi .i si'a li'o li'u»	ni'o lu ze'a lo cacra be li pa re ca lo pa moi donri .e lo re moi donri –sei la jitfa cakyrespa cu cusku– .i li so ca lo ci moi .e lo vo moi .i li xa ca lo mu moi .e lo xa moi .i si'a li'o li'u	Ten hours the first day,' said the Mock Turtle: 'nine the next, and so on.'
ni'o «lu cinri selpla –sei la .alis. cu ki'asku– li'u»	ni'o lu cinri selpla –sei la .alis. cu ki'asku– li'u	What a curious plan!' exclaimed Alice.
ni'o «lu la'e di'u krinu lo nu zo cilre cu cmene .i jdika lo ka temci kei lo cacra be li ba'e ci ca ro djedi be li ba'e re li'u»	ni'o lu la'e di'u krinu lo nu zo cilre cu cmene .i jdika lo ka temci kei lo cacra be li ba'e ci ca ro djedi be li ba'e re li'u	That's the reason they're called lessons,' the Gryphon remarked: 'because they lessen from day to day.'
ni'o lo sidbo cu mutce cnino la .alis. .i .abu ze'a pensi pu lo nu te pinka fi «lu ja'o je'u pei ca lo so moi donri .e lo pa no moi donri cu zifre li'u»	ni'o lo sidbo cu mutce cnino la .alis. .i .abu ze'a pensi pu lo nu te pinka fi lu ja'o je'u pei ca lo so moi donri .e lo pa no moi donri cu zifre li'u	This was quite a new idea to Alice, and she thought it over a little before she made her next remark. 'Then the eleventh day must have been a holiday?'
ni'o «lu je'u li'a go'i –sei la jitfa cakyrespa cu cusku– li'u»	ni'o lu je'u li'a go'i –sei la jitfa cakyrespa cu cusku– li'u	Of course it was,' said the Mock Turtle.
ni'o «lu mo ca lo pa pa moi donri –sei la .alis. di'a kucli cusku– li'u»	ni'o lu mo ca lo pa pa moi donri –sei la .alis. di'a kucli cusku– li'u	And how did you manage on the twelfth?' Alice went on eagerly.
ni'o «lu la'e di'u banzu sera'a lo nu ckule –sei la cpicinfo cu jditce tonga zunti– .i ca ku ko ti tavla lo nu kelci li'u»	ni'o lu la'e di'u banzu sera'a lo nu ckule –sei la cpicinfo cu jditce tonga zunti– .i ca ku ko ti tavla lo nu kelci li'u	That's enough about lessons,' the Gryphon interrupted in a very decided tone: 'tell her something about the games now.'
ni'o ni'o pa no mo'o xasyjukni vonseldansu	ni'o ni'o pa no mo'o xasyjukni vonseldansu	CHAPTER X. The Lobster Quadrille
