jbovla	lojbo	glico
snanu	le pendo be mi cu xabju bu'u le snanu be ti bei le farna be le'e maksi jesni	My friend live to the south of this place in terms of magnetic needle direction.
snidu	le nu mi pu bajra cu snidu li pa mu	I ran in 15 seconds.
snime	le mi'u snime cu lenku	The snow is cold.
snipa	le cirla pu snipa le moklu be mi	The cheese sticked to my mouth.
snuji	mi pu citka pa snuji be le rectu bei le nanba	I ate a bread sandwich with meat inside.
snura	mi'o snura le ka se gunta le bramlatu	We are safe from a possible attack of big cats.
snuti	le ka darxi la alis cu pu to'e snuti la kevin	It was deliberate on the part of Kevin to hit Alice.
snuti	le ka srera cu pu snuti le lanli	The error happened accidentally on the part of the researcher.
so	so tadni ca catlu do	There are 9 students looking at you.
so'a	so'a prenu ca zukcfu no da	Almost all people are idle now.
so'a	le mi'u se gunka se la'u li so'a mulno	The work is almost done.
so'e	so'e prenu cu nelci le plise	Most people like apples.
so'i	so'i prenu ca pindi	Many people are poor.
so'o	mi pu tavla so'o prenu	I talked to several people.
so'u	so'u prenu ca zvati le mi'u zarci	There are a few people now in the store.
sobde	ti stasu le sobde	This is a soya soup.
sodna	la natriium cu sodna	Sodium (Na) is an alkali metal.
sodva	mi pu pinxe le sodva be le bisli kruji	I was drinking an ice cream soda.
soldei	do zvati ma ca le soldei	Where will you be on Sunday?
solji	le solji cu kargu	Gold is expensive.
solji	le letri te jorne poi le solji cu sefta cu xe benji se la'u li rau	Electrical junctions with gold surfaces are good transmitters.
solri	ti solri so'o barda planeta	This is a home star of several big planets.
sombo	xu do mo'u sombo le mi'u tsiju le dertu	Have you sown the seeds in the ground?
sonci	ti se sonci pa ki'o ji'i da	This is an army of approximately 1000 soldiers.
sorcu	ei mi klama le sorcu be le cidja	I should go to a food store.
sorcu	xu le mi'u sorcu be le datni cu akti	Is the data store active?
sorgu	ra pu jai gau farvi fai le sorgu te zu'e le ka jai gau citka le jipci	He was growing sorghum to feed chickens.
sorta	mi sorta le ka gleki	I'm sort of happy.
sovda	mi pu lebna so'o sovda be le jipci	I took several hen eggs.
spaji	mi se spaji le nu do kakne le ka zgipli le tabra	I am surprised that you can play the horn.
spali	le mi'u ninmu cu spali le xadni be vo'a le cakla	The woman polished her body with a chocolate.
spano	xu le mi'u ninmu cu spano	Is she Spanish?
spati	le mi'u spati cu banro	The plant is growing.
speni	le speni be mi cu se jibri le ka mikce	My spouse works as a doctor.
spisa	ko sabji le pa spisa be le plise mi	Give me a piece of an apple.
spita	tu spita le verba le te bilma pe gau le vidru	That is a hospital treating children for viral diseases.
spofu	le mi'u molki cu spofu le ka cupra le purmo	The mill is broken and is not producing the flour.
spoja	le mi'u jbama pu spoja le pagbu	The bomb exploded into pieces.
sportivo	mi sportivo la tenis	I practice tennis.
spuda	mi pu spuda le se retsku le ka spusku zo je'u	I responded to the question by replying "Yes."
spuda	le mi'u prenu pu spuda le se friti be le mi'u fetsi le ka cmila	The person responded to her offer with laughter.
spuda	le mi'u skami na spuda	The computer is not responding.
spusku	au la jasmin ba spusku zo je'u mi	I wish Jasmine replies "Yes" to me.
sputu	mi pu sputu le tcati pa kabri le mi'u jubme	I spit some tea from a cup onto the table.
sraji	le mi'u grana cu simlu le ka sraji mi	The rod seems to be standing vertically from my position.
sraku	mi pu sraku le stedu be mi	I scratched my head.
sralo	xu tu noi nixli cu sralo	Is that girl Australian?
srana	.i do .e'o ciska le srana be le se lifri be do	Please write about your experience.
srana	.i xu le nu do litru cu srana le jibri be do	Is your journey related to your job?
srasu	lo'e bakni cu jai sarcu fai tu'a le'e srasu	Cows need grass.
srera	mi pu srera le ka cuxna ma kau noi speni mi	I made a mistake in choosing my spouse.
srera	mi pu srera le ka klama la madrid	I made a mistake by going to Madrid.
sruma	mi sruma le nu racli vau le nu ca'o smaji	I think it'd be rational to continue keeping silence.
sruri	le mi'u ckule cu se sruri le cmana joi le lalxu le ro korbi	The school is surrounded by mountains and lakes from all sides.
stace	ko stace mi le ka pu smusku le nu do pu zukte ma kau	Be honest with me in saying what you did.
stace	sei mi stace mi na djuno	Frankly, I don't know.
stace	sei mi stace na vajni mi	Frankly, it's not important to me.
stagi	au stasu le stagi	I'd like a vegetable soup.
stagi	ti noi genja cu patlu stagi	This root is a vegetable of potato plant.
staku	mi se cinri tu'a le jungo staku	I have an interest in Chinese ceramics.
stali	mi te mukti le ka stali vi ku ze'a le djedi be li ci	I am going to stay here for three days.
stani	pa cribe ca'o cpare le stani be pa clani tricu	A bear is climbing up a trunk of a high tree.
stapa	le mi'u xirma pu jundi stapa le bisli le sufti	The horse carefully stepped on the ice with her hoofs.
stapa	mi pu stapa se ka'a le mi'u cripu	I stepped to the bridge.
stasu	mi pu citka le stasu be le dembi jo'u le silna	I ate a bean soup with salt.
stati	ra stati le ka zbasu le bambola	She has talent for making dolls.
steba	le mi'u nakni pu steba le nu la alis di'i pante	He was frustrated of Alice's regular complaints.
steci	fi le jmive fa le remna cu se steci le ka pilno le xislu	Among living beings, only humans use wheel.
stedu	le stedu be le mi'u verba cu glare	The child's head is hot.
stela	ti stela ti noi tanxe vau le ka te setca le mapti ckiku	This is a lock for sealing this box; a suitable key is to be inserted into it.
stero	le te kojna be fi ti cu stero li pa	The vertex of this cone subtends 1 steradian.
stici	la amerik cu stici la afrik le farna be le muvdu solri bei ti	From this vantage point, when observing the movement of the sun, Africa lies to the east, while America stretches to the west.
stidi	da'i do stidi tu'a ma noi gusta	What restaurant would you recommend?
stidi	le se stidi be le mi'u fetsi pu du le nu daspo le mi'u dinju	Her proposal was to destroy the building.
stika	le nu vlile brife cu stika le se zukte be mi le so'i mei	Stormy winds change my actions a lot.
stizu	e'a do jai gau muvdu fai le mi'u stizu ti gi'e zutse	Feel free to move the chair here and be seated.
stodi	ra stodi le ka jinvi ma kau	He is stable in is views.
stomaxu	le stomaxu be mi cu culno	I am full.
stuna	le nurma zdani be mi cu stuna le zdani be bu'u le tcadu le farna be le litru solri bei ti	"My rural house sits westward from the city apartment, following the path of the sun's journey."
stura	le dinju cu stura le bliku	Buildings are structures made of bricks.
stura	le jufra cu stura le valsi	Sentence is a structure made of words.
stuzi	ma stuzi le spita	Where is a hospital?
su'a	le speni be mi be'o poi du la alis cu xebni le birje i je su'a ro ninmu cu xebni le birje	Alice, which is my wife, hates beer. And that shows that all women hate beer.
su'a	mi nelci le ninmu y ju'e su'a nai la alis	I like women ... Alice in particular.
su'e	su'e re prenu ca zvati le mi'u dinju	There are at most two people in the building.
su'i	li pa ci su'i mu du li pa bi	13 + 5 = 18.
su'o	su'o ci prenu pu cliva le dinju	At least three people left the building.
su'o	su'o prenu ca jundi	At least one person is attentive now.
su'o	mi pu xagji se la'u li su'o	I was hungry to some degree.
su'oi	su'oi pa smoka cu cpana le mi'u jubme	There is a sock on the table.
su'u	le su'u mi tadni vau be le pruce cu nandu	My learning is hard process.
su'u	le su'u catlu le pindi vau be le se lifri pu cizra	It was a strange experience to look at the poor man.
sudga	le mi'u grute cu sudga le jisra	The fruit is dry of juice.
sufti	ei do lasna le cutci le sufti be le xirma le dinko	You should fit the shoe to the horse's hoof with nails.
suksa	le nu mi co'a cikna cu pu suksa le cabdei le temci be le nu mi sipna	Today I woke up fast.
sumji	li bi sumji li mu li ci	8 = 5 + 3.
sumne	mi sumne le panci be le xrula	I smell the scent of flowers.
sumne	mi sumne le xrula	I feel a flower scent.
sumti	zo mi sumti le ka dunda vau zo fi	{mi} is the third argument of the verb {dunda}.
sunga	le sunga cu se panci le carmi	Garlic gives off a strong odor.
sunla	le sunla be le lanme cu xutla	Lamb's wool is soft.
surla	mi surla le ka vreta pa sfofa	I relax myself by lying on a sofa.
sutra	la alis pu sutra le ka punji le mi'u botpi le mi'u tanxe	Alice was fast enough in putting the bottle into the box.
ta	e'o do dunda ta noi penbi	Please, give me that pen near you.
ta'a	ta'a le nobli ma se zvati le sivni kumfa	Pardon for interrupting, but where is the toilet?
ta'e	mi ta'e citka le plise	I used to eat apples.
ta'e	le verba ta'e ze'i co'a tatpi	Children tend to quickly get tired.
ta'i	ta'i ma do pu mo'u klama ti	How did you get here?
ta'o	ta'o do nanca ma	By the way, how old are you?
ta'o	ta'o nai mi platu le ka mo'u klama la moskov de'i li jy dy re	Back to the point, I'm planning to arrive in Moscow on Tuesday.
tabno	le kolme cu marji le tabno	Coal consists of carbon.
tabra	le xanto cu bacru le simsa be le sance be le tabra	Elephants produce sounds similar to trumpet.
tadji	le nu jai gau glare cu tadji le nu jukpa le sovda	Heating is how you cook an egg.
tadni	mi tadni le cmaci	I study math.
tagji	le mi'u kosta cu tagji le mi'u verba le ka bekpi se pagbu	The coat is tight on the child in its back part.
tai	la kevin cu zukte ro da tai i ja'e bo mi jimpe no de	Kevin does everything in such a way I can't understand anything.
tai	ba zi le nu le vorme co'a kalri vau le mi'u nakni pu klama le nenri tai le nu mi'a ca'o denpa tu'a le mi'u nakni	As soon as the door opened, he got in as if we were waiting for him.
taksi	ai mi klama fu le taksi	I'm going to take a taxi.
talsa	mi pu talsa le mi'u nakni le ka facki le danfu	I challenged him in finding the answer.
tamca	mi na nelci le tasta be le tamca	I don't like the taste of tomatoes.
tamji	mi pu darxi mi le pa mruli le tamji	I hit my thumb with a hammer.
tamne	do tunba mi le ka patfu be le patfu	You are my cousin since we have the same paternal grandfather.
tanbo	ne'a le tanbo pu sanli fa le pa nixli noi le flira zo'u darsi cisma	A girl with a cheeky smile on her face was standing at the blackboard.
tance	gau ko punli fa le tance	Put the tongue out.
tanjo	li pa tanjo le radno be li pai fe'i vo	1 is the tangent of "pi/4" radians.
tanko	ra vasxu le tanko	He smokes tobacco.
tanru	lu sutra bajra li'u cu tanru zo sutra zo bajra	{melbi ractu} is a tanru (compound verb) with seltau {sutra} and tertau {bajra}.
tanru	zoi gy.drip fry.gy. tanru	"drip fry" is a tanru.
tansi	ti tansi le salta	This is a bowl for salad.
tanxe	ra pu bevri pa tanxe be le penbi	He brought a box of pens.
tapla	le sefta be le mi'u dargu cu vasru le tapla	The road pavement contains tiles.
tarbi	le mi'u ninmu pu cusku fi le mi'u nanmu fe lu ti tarbi mi do pe na ku li'u	She said to him "It's not your baby." (about her not yet born child).
tarci	xu nai pluka fa le ka catlu le tarci ca le nicte	Isn't it pleasant to look at stars at night?
tarla	mi na kakne le ka lumci le creka le tarla	I can't clean my shirt of the tar.
tarmi	le balnema cu se tarmi le finpe	Whales have the form of fishes.
tarti	traji xamgu se tarti do fa le ka da'i smaji	The best behaviour for you would be keeping silence.
taske	mi taske	I'm thirsty.
taske	mi mutce taske le jisra	I'm dying for a juice!
tasmi	le ka plipe ga'u le bitmu pu tasmi le nu mi pu co'a zvati le purdi	Jumping over the fence, this is how l got into the garden.
tasta	le tasta be le mi'u nanba cu titla	The bread has a sweet taste.
tatpi	mi tatpi le nu do so'i roi pante	I'm tired of your numerous complaints.
tatru	ra se tatru le barda	She has big boobs.
tavla	.i ko smaji ca le nu mi tavla la .alis. fo la .lojban. fi le nu prami	Keep silence when I'm talking to Alice in Lojban about love.
taxfu	ti noi sunla kosta cu taxfu le zvati be le cmana gi'e jai bandu fi le nu lenku	This fur coat is used by those who are in mountains and protects from cold.
tcaci	ra se ke xlali tcaci le ka batci le jgalu	He has a bad habit of biting his fingernails.
tcadu	le ralju tcadu be le bu'u gugde cu darno ti	The main city of this country is far away from here.
tcana	ti tcana le trene	This is a train station.
tcati	mi pinxe le tcati be le crino pezli	I'm drinking tea brewed from green leaves.
tcemi	mi poi tcemi do barda	I am big compared to you.
tcena	le bratu carvi cu tcena fo ti fe le drata gugde le vlile	The violent hail spreads from here to another country.
tcica	le nu le jbari cu xunre cu tcica mi le ka pensi le nu to'e se ckape le ka citka le mi'u jbari	The red color of the berry misled me into thinking that it's safe to eat it.
tcidu	.i mi mo'u tcidu le se ciska le bitmu	I have read what is written on the wall.
tcika	le fetsi pu ku ca le se tcika mo'u klama	She arrived on time.
tcika	mi ca le se tcika ba'o mo'u klama	I arrived in time.
tcika	li cy pa ci tcika le nu ei mi'o cliva vau le bavlamdei	1 pm tomorrow is when we should leave.
tcika	li cy so my ci no tcika le nu le pa zarci co'a akti vau le cabdei ti	The shop starts working today at 9:30.
tcika	li cy pa no my mu sy re ze tcika le nu le jakne co'a vofli vau le cabdei la nipon.	Today at 10:05:27 (Japanese timezone) is the time of the rocket starting the flight.
tcila	le bangu cu ro roi vajni tcila le mi'u cecmu	Language is always an important detail of a society.
tcilokoiotli	xu do pu'i smaka le sanso be le tcilokoiotli	Have you ever tasted pumpkin sauce?
tcima	lu ma tcima la moskov ca le cabdei li'u lu le solri li'u	"What is the weather today in Moscow?" "It is sunny."
tcini	ma tcini le nu do pu farlu	How did you fell down (what were the circumstances of your falling)?
tcini	le nu tadni le saske poi le no'a na nelci cu cizra tcini	Studying a branch of science that you don't like is a crazy situation.
tcita	ti noi sinxa cu tcita le valsi le ka cnino	This symbol labels words as being new.
te	mi pu te vecnu le karce le pendo be mi i va'i le pendo be mi pu vecnu le karce mi	I bought a car from my friend. In other words, my friend sold a car to me.
te be'i	le mi'u prenu pu cusku da te be'i mi	He said something to me.
te ka'a	mi pu bajra te ka'a le mi'u za'u mei	I ran away from them.
te rai	le fragari cu se nelci mi te rai le jbari	Out of berries, I like strawberries most.
te zu'e	le mi'u prenu cu gunka te zu'e le ka co'u morji	He works in order to forget.
te'a	li mu te'a ci du li pa re mu	5<sup>3</sup> = 125.
te'ai	le vi foldi cu mitre te'ai re li pa no no	This field is 100 square meters.
te'o	li te'o te'a vei ka'o pi'i pai ve'o du li ni'u pa	e<sup>(i × π)</sup> = -1.
tedydei	ca le tedydei mi pu surla	On Saturday I was having a rest.
tefi'e	le mi'u za'u mei ba'o pilno le minji pe te fi'e le nu cpacu le ctile	They no longer use machines created to get oil.
temci	le cacra be li ci cu temci le nu mi co'a klama fi le dinju vau le nu le mamta mo'u klama le dinju	Three hours passed from the time I left the building till the time the mother arrived at it.
tende	ra tende le ka xusra lo jitfa	He tends to lie.
tenfa	li so tenfa li ci li re	9 is the exponential result of 3 to the power 2.
tengu	le pilka be le mi'u tricu cu se tengu le ka rufsu	The rind of the tree has a rough texture.
terdi	ti terdi le remna	This is the planet of humans.
terpa	mi terpa le nu le mamta cu viska ti	I'm afraid that my mom will see this.
terto	ti voi tcana cu sorcu le terto be le ka bitni be li bi be'o le ka vreji	This network station stores 1 Terabyte of data.
terto	le tarci cu terto le ka minli li re bi vau le ka te sepli le terdi	The star is 29 trillion miles away from the Earth.
ti	ma jdima ti	What is the price of this?
ti	ko stali ti	Stay here.
ti'a	ti'a do karce	There is a car behind you.
ti'e	ti'e ba carvi	They say it will rain.
ti'e	ti'e le mi'u prenu cu zabna mikce	She is said to be a good doctor.
tigni	le mi'u za'u mei cu tigni le ka sutra dansu vau le tadni	They are performing a fast dance before students.
tilju	ti noi tanxe cu je'a tilju le ka gau muvdu re'o le loldi	This box is really heavy in dragging it on the floor.
tinbe	mi tinbe le te minde do	I obey your command.
tinci	le mi'u tanxe cu marji le tinci	The box is made of tin.
tinsa	le mi'u falnu cu tinsa le pinta le mi'u brife	The sail is rigid in horizontal direction against the wind.
tirna	mi pu tirna le sance be pa palta poi ca'o porpi	I heard the sound of a plate breaking.
tirse	le solji ne se mau le tirse cu tilju	Gold is heavier than iron.
tisna	le mi'u kicne cu tisna le pimlu	The cushion is filled with feathers.
titla	le mi'u badna cu titla mi	The banana tastes sweet to me.
tivni	ti ca'o tivni pa skina la internet le skami pe le zdani be mi	This camera is streaming video via the internet to my home computer.
tixnu	ma nuzba le tixnu be do	How is your daughter?
to	lei verba to lei rirni pu zvati le zarci toi pu klama le bartu	The children (the parents were at the store) went outside.
to'e	mi to'e ri'a nai snada	Despite that, I succeeded.
to'e	to'e cafne fa le nu carvi bu'u ti	It rains here seldom.
to'e	mi to'e nelci le perli	I hate pears.
to'o	da pu renro pa rokci to'o le mi'u bitmu	Someone threw a stone from the direction of the fence.
to'u	to'u mi na djuno le danfu	In short, I don't know the answer.
to'u	to'u nai mi cliva ca le lamji vanci	In detail, I leave this evening.
toknu	ti toknu le cidja	This is an oven for cooking food.
toknu	tu toknu le mudri	That is a wood burning stove.
tolckire	mi pu tolckire le ninmu le ka tarti le xlali	I felt resentful of this lady's bad behavior.
toldi	mi zgana le tarmi be le nu le toldi cu vofli	I observe how butterflies fly.
tolna'e	le du'u la kevin na xagji cu tolna'e le du'u la kevin pu citka le torta	The fact that Kevin is not hungry is the evidence that he ate a cake.
tolna'e	tolna'e le du'u mi ba na jinga	It's clear that I won't win.
tolpo'u	le mi'u minji cu tolpo'u	The machine is functional.
tolpro	mi pu tolpro le pendo le ka klama le dinju be le nu skina	I accepted my friend's proposal to go to the cinema.
tolrinsa	so'i pendo cu tolrinsa la alis	There were many friends seeing Alice off.
toltinsa	do simlu le ka toltinsa le ka tarti ma kau vau le se cpedu be le se prami be do	You seem to be flexible in your behavior under requests of your loved one.
tolxanka	e'o do tolxanka	Please, calm down.
tolylau	mi'a pu tolylau tavla	We talked quiet.
tolylau	e'o tolylau	Please, be quiet!
tolylau	le bu'u purdi cu tolylau	This garden is a quiet place.
tolylau	le mi'u minji cu tolylau le bartu	The machine has a soft sound when listening from the outside.
tolzdi	tolzdi se cau le zgike	It's boring without music.
tolzdi	mi se tolzdi	I'm bored.
tonga	le mi'u cipni ta'e bacru le tonga be le barda	The bird produces a high pitch.
tonga	le bakni cu bacru le tonga be le cmalu	Cows produces low pitch.
tordu	ti noi uenzi cu tordu le ka se pagbu xo kau valsi	This text is short in the number of words.
torni	mi mo'u jai se torni le tornozelo	I twisted my ankle.
tornozelo	le djacu pu lamji le tornozelo be ra	The water reached her ankles.
torta	ti pu torta le grute e le kruji e le nanba	This was a cake made of fruits, cream and bread.
traduki	do traduki zoi gy.Yay, hello!.gy. ma noi lojbo	How would you translate "Yay, hello!" to Lojban?
traduki	mi pu traduki lu coi ui li'u noi lojbo zoi gy.yay, hello!.gy. noi glico	I translated Lojban {coi ui} to English as "Yay, hello!"
traduki	mi traduki le glico le lojbo	I translate from English to Lojban.
traji	la alis cu traji le ka clani vau le nixli pe ti noi ckule	Alice is the tallest among girls of this school.
trano	le vacri cu vasru le kijno e le trano	The air consists of oxygen and nitrogen.
trati	le mi'u taxfu cu tarti le ka pinta	The dress is strained in horizontal direction.
trene	ti trene le mu mei	This train consists of 5 cars.
trene	so'i da trene le kumte la silka dargu	There are many camel caravans on the Silk Road.
tricu	le cribe cu kakne le ka cpare le tricu	Bears can climb trees.
trina	le mi'u jibri cu trina mi le nu mi zifre le ka cliva le briju ca le nu mi djica	The job attracts me in that I may leave the office when I want.
trixe	le mi'u karce cu trixe le mi'u tricu le mi'u canko	The car is behind the tree when viewed from the window.
troci	.i mi ba troci le ka cpare le tricu	I will try to climb the tree.
troci	.i le troci ku po'o cu snada .i ku'i le troci po'o cu fliba	Only the one who tries succeeds. But the one who only tries fails.
tsali	ei do tsali le ka tadni	You should study hard.
tsali	do tsali le ka lafti le tilju	You are strong in lifting heavy objects.
tsani	le tsani be le xamsi cu klina gi'e banli	The sky in the sea is clean and magnificent.
tsapi	ti noi cidja cu culno le tsapi be le cpina	This food is rich in hot spices.
tsiju	ti tsiju le manti le mamta	This is a fertilized cell producing ant queen.
tsina	le tsani cu tsina pe'a le galtu le tarci	The sky is a high "pedestal" for stars.
tu	xu tu du le aftobuso pe mi'ai	Is that our bus?
tu	u'e cai tu mo	Oh my, what is that over there?
tu'a	mi djica tu'a le pa plise	I want an apple. I want something to happen with an apple (maybe, I want to eat it).
tu'e	mi cadzu ka'ai le mi'u gerku i je ba tu'e mi jukpa le nanba i ja ca bo mi lumci le mi'u kumfa tu'u	I will walk with the dog. And then I will either cook the bread or clean the room or doth both at the same time.
tu'o	tu'o sluni cu zvati le mi'u patxu	There is a mash of onions in the pot.
tubnu	ti noi ponjo se sanmi cu tubnu le rismi le sovda be le finpe	This Japanese meal is a tube of rice with caviar as its filling.
tugni	mi tugni do le nu ti noi purdi cu melbi	I agree with you that this is a beautiful garden.
tujli	le mi'u tujli ba zi se xrula da	The tulips will bloom soon.
tumla	ti tumla pa drata gugde	This is a land of another country.
tunba	do tunba mi le ka se mamta gi'e se patfu	You are my sibling since we are born from the same mother and father.
tunka	xu le tunka cu narju	Is copper orange?
tunlo	ra pu tunlo	He made a swallowing movement.
tunta	le dakfu cu tunta le tuple be mi	The knife is poking my leg.
tuple	je'u ma'a se tuple vo da	We actually have four legs.
turni	ra turni le bu'u gugde	He governs this country.
tutci	le vlaste cu plixau tutci le nu tadni le bangu	Dictionary is a useful tool for studying languages.
tutra	le tutra be le manti cu zenba	The territory controlled by ants is extending.
u	coi le jbopre u le certu	Hello, Lojbanists (whether or not you are experts).
u'a	u'a sinxa le nu mi pu drani	Aha, that's a sign that I was right.
u'a	u'a nai la rob pu zabna gerku	Snif, Rob was a good dog.
u'a	u'a nai mi pu nu'o mo'u pinxe le stasu	I haven't eaten up soup.
u'e	u'e le mi'u lalxu cu je'a melbi	Wow, the lake is really beautiful.
u'e	u'e nai lalxu	So what? It's just a lake.
u'e	u'e ti noi jbari so'i mei cu je'a kukte	Wow, these berries are indeed tasty.
u'i	u'i pa mlatu cu troci le ka kavbu le rebla be vo'a	Ha-ha, a cat is trying to capture its tail.
u'i	u'i nai mi pu tirna le xajmi lisri pe do	Boring, I heard your funny story.
u'o	u'o mi do ba jai gau snura	I'm coming to your rescue!
u'o	u'o cu'i xu mi zifre le ka stali	Erm, may I stay here?
u'o	u'o nai mi na klama le nenri	Oh no, I'm not going to enter.
u'u	u'u mi pu srera	Sorry, I made a mistake.
ua	ua nai ma smuni le se cusku be do	Huh, what's the meaning of your words?
ua	ua le penbi cu nenri le tanxe	Oh, the pen is inside the box.
ue	ue do xa'o zvati ti	Hey, you are already here!
ue	ue cu'i do ca'o sipna	Well, no surprises, you are still sleeping.
ue	ue nai ro le co'e cu prane	Everything is perfect, just as I expected.
uencu	mi jinvi le du'u le vi uenci be le nu farvi fa le mi'u bangu cu mutce le ka vajni	I think that these documents containing the development of the language are very important.
uenzi	ti uenzi le vajni fasnu	This is a text about important events.
ui	ui mi pu jai zu'e penmi ra	Yay, I had a meeting with her.
ui	ui nai mi fliba	Alas, I failed.
uo	uo mi facki pa danfu	Voila, I found a solution!
uo	uo nai do tu na ru'e darxi	Oh, you almost hit it.
uu	uu a'o do ba jinga ca le drata	Oh you poor thing, I hope you will win another time.
uu	uu nai do ba me le selfu be mi	Mwa ha ha, you will be my slave!
va	le mi'u prenu cu sanli va le mitre be li re ki mi	The man is standing two meters away from me.
va	le va tanxe cu vasru le plise	That box contains apples.
va'e	ro prenu cu su'o va'e le ka bebna	Every person is stupid to some degree.
va'e	.i mi pu so'u va'e le ka pencu	I barely touched it.
va'i	mi ponse so'u jdini	I have little money.
va'i	va'i mi pindi	In other words, I'm poor.
va'o	da'i mi ba zukte i va'o bo do stali	I would do it provided that you stay.
va'u	mi co'a ricfu va'u le nu mi carmi gunka	I became rich thanks to my hard work.
vacmurse	le fetsi pu mo'u klama le dinju pe mi ca le vacmurse be le prulamdei bei vo'e	Yesterday at twilight, she arrived at my house.
vacri	mi vasxu le noi culno le kijno jo'u le pluka panci vau vacri be le purdi	I breathe the air of the garden full of oxygen and pleasant scents.
vai	mi ba penmi do de'i li cy vai	I will meet you at 3pm.
vajni	na vajni mi	I don't care.
vajni	le nu do di'i tavla fo la lojban cu vajni mi le ka se jalge le nu do certu tu'a la lojban	Regularly talking in Lojban is important to me in that it results in you becoming an expert in Lojban.
valsi	zoi sy.parte.sy. valsi le ka pagbu vau le spano	"parte" means "part" in Spanish language.
vamji	ti noi cukta cu se vamji le barda mi le nu mi lanli ce'u	This book is worth a lot to me for studying.
vamji	ti noi cukta cu se vamji le ka carmi zanru ce'u	This book is worth high praising.
vamtu	le mi'u verba cu vamtu le pu se citka vo'a	The child vomited what he had eaten.
vanbi	le mi'u vanbi cu so'i mei	There are many factors.
vanbi	le se vanbi be le mi'u jufra cu sinxa le nu le cusku pu na junri	The context of this sentence is a sign that the author wasn't serious.
vanci	vanci coi	Good evening!
vanci	ca vanci	It's evening now.
vanci	ai ca le vanci be le bavlamdei bei vo'e mi vitke le mamta be mi	I'm going to visit my mother tomorrow evening.
vanjba	tu vasru le plise e le vanjba e le tcilokoiotli e le drata grute	It contains apples, grapes, pumpkin and other fruits.
vanju	ti vanju le xunre vanjba	This is wine from red grapes.
vasru	le mi'u tanxe pu vasru so'i cukta	The box was full of books.
vasxu	e'u mi'o vasxu le so'o vifne vacri	Let's breathe some fresh air.
vau	mi jinga vau ui	I won, yay!
vau	mi so'o roi masno cadzu gi'e so'o roi bajra vau to'o le ckule	Sometimes I walk slowly from the school, sometimes I run away from it.
ve	le mi'u ve pluta cu tordu	The route is short.
ve'a	da lalxu ve'a le kramu be li re ki'o le ka mitre	There is a lake covering 2,000 square meters.
ve'e	bu'u le mi'u kumfa ve'e dertu	It's dirty all over the room.
ve'i	le tapla poi farlu fi le mi'u drudi cu porpi le ve'i spisa	The tiles that fell from the roof broke into small pieces.
ve'i	le va ve'i cmana cu se gacri le srasu	That hill is covered with grass.
ve'i	da lalxu ve'i le kramu be li re bei le ka mitre	There is a puddle covering two square meters.
ve'u	lei mi'u verba pu zbasu pa ve'u snime	Children made a snowball.
ve'u	xu do pu'i jibni le ve'u xamsi	Have you ever been near the ocean?
vecnu	mi pu te vecnu le plise le rupnu be li re	I bought apples for 2 dollars.
vecnu	mi pu te vecnu le ka se ctuca fi la lojban ze'a le cacra be li ci	I bought three hours of Lojban lessons.
vecnu	mi pu te vecnu le ka jorne le kibro	I bought an internet connection.
vedli	mi vedli le ka kansa la alis bu'u ti	I remember being with Alice at this place.
vei	li vei ci su'i pa ve'o pi'i re du li bi	(3 + 1) x 2 = 8.
vei	li ci su'i pa pi'i re du li mu	3 + 1 x 2 = 5.
venfu	la kevin pu venfu la alis le ka kusru la kevin vau le ka cinba la alis re'o pa li'anpi	He took a revenge on Alice being rude to him by kissing her on the cheek.
vensa	ca le vensa be le re no no mu moi bei la australiias mi pu na zvati le zdani be mi gugde	During Australian winter of year 2005 I wasn't in my home country.
verba	ti noi mlatu cu verba le masti be li ci le ka ca'o pinxe le ladru pe le mamta	This cat of three months old is still a kitten since he still drinks mother's milk.
vi	mi ca zvati vi le tcana	I'm near the station.
vi	le mi'u prenu cu sanli vi le mitre be li re ki mi	The man is standing near, only two meters away from me.
vi	le vi plise cu titla	This apple is sweet.
vi'a	mi pu litru vi'a le mi'u gugde	I travelled across the country.
vi'a	mi pu klama vi'a le mi'u tcadu	I moved around the city.
vi'e	xu do pensi le vi'e pixra	Are you thinking of the whole picture?
vi'e	le prenu vi'e cenba	People change in time and space.
vi'i	ai mi cadzu vi'i le mi'u klaji	I'm going to walk along the street.
vi'o	lu ko lumci le mi'u kumfa li'u lu vi'o do li'u	"Clean the room." "Will do."
vi'u	le fagri pu preja vi'u le mi'u zdani	The fire spread across the building in all directions.
vibna	xu ti pixra le vibna be pa bakni	Is this a picture of a cow's vagina?
vidni	ti vidni le ka jai gau zgana le se klani be le livla	This is the screen for showing the amount of fuel.
vidru	ti vidru la rotavirus le remna	This is Rotavirus that infects humans.
vifne	xu le mi'u finpe cu vifne	Is the fish fresh?
vikmi	le mi'u verba cu vikmi le pinca le xadni le nakpinji	The child excretes the urine from the body via the penis.
viknu	le mi'u jisra cu viknu	The juice is thick.
vimcu	no ladru cu ve vimcu	No milk left.
vimcu	mi pu vimcu le jbari le mi'u torta le matne	I removed berries from the cake leaving the butter.
vindu	le cakla cu vindu le gerku	Chocolate is a poison to dogs.
vinji	mi pu ca'o vofli bu'u pa vinji be le prenu	I was flying in a passenger's airplane.
