tcexo	rusko
A nemáš-li uznání pro tuto zvláštní krásu, tak ať ti osud za trest nadělí pár čtverečních sáhů jílu, jílu jako cín, jílu rostlého a původního, ze kterého čiší zima, který se ti prohne pod rýčem jako žvýkací guma, který se ti na slunci speče a ve stínu zkysá; jílu zlostného, nepoddajného, mazlavého a kamnářského, slizkého jako had a suchého jako cihla, neprodyšného jako plech a těžkého jako olovo. A teď jej trhej krumpáčem, rozřezávej rýčem, rozbíjej kladivem, převracej a zpracovávej hlasitě klna a běduje. Tu pochopíš, co je to nepřátelství a zavilost hmoty neživé a jalové, která se kdy bránila a brání stát se půdou života; a uvědomíš si, jaký strašlivý zápas píď za pídí musil svádět život, aby se ujal na půdě země, ať se ten život jmenuje vegetace, nebo člověk.	А если у тебя нет признания для этой особой красоты, то пусть судьба в наказание отсыплет тебе несколько квадратных саженей глины, глины как олово, глины первозданной и коренной, от которой веет холодом, которая прогибается под лопатой как жевательная резинка, которая на солнце спекается, а в тени киснет; глины злобной, неподатливой, липкой и печной, склизкой как змея и сухой как кирпич, непроницаемой как лист железа и тяжелой как свинец. И вот рви ее киркой, режь лопатой, дроби молотком, переворачивай и обрабатывай, громко ругаясь и стеная. Тут ты поймешь, что такое враждебность и злоба мертвой и бесплодной материи, которая всегда сопротивлялась и сопротивляется тому, чтобы стать почвой жизни; и осознаешь, какую страшную борьбу пядь за пядью должна была вести жизнь, чтобы утвердиться на земной почве, будь эта жизнь растительностью или человеком.
	
A potom i poznáš, že musíš půdě dávat víc, než z ní bereš; musíš ji leptat a nasytit vápnem a zahřát teplou mrvou, prosypat lehkostí popele a napojit vzduchem a sluncem. Tu se počne rozpadat a drobit speklý jíl, jako by potichu dýchal; ustupuje pod rýčem kypře a s nápadnou ochotou; v dlani je teplý a poddajný; je zkrocen. Říkám vám, zkrotit pár sáhů půdy je veliké vítězství. Teď tu leží, dělná, sypká a vlažná; chtěl bys ji celou drobit a mnout mezi prsty, aby ses ujistil svým vítězstvím; ani už nemyslíš na to, co na ni naseješ. Což není dost krásná podívaná na tuto temnou a vzdušnou půdu? Není to krásnější než nějaký záhon macešek nebo mrkve? Skoro žárlíš na vegetaci, která se zmocní tohoto ušlechtilého lidského díla, jež se jmenuje prsť.	А потом ты поймешь, что почве надо отдавать больше, чем берешь из нее; надо проесть ее известью, насытить теплым навозом, просыпать легкостью золы и напоить воздухом и солнцем. И вот спекшаяся глина начинает распадаться и крошиться, словно тихонько дышит; она уступает под лопатой рыхло и с заметной охотой; в ладони она теплая и податливая; она укрощена. Говорю вам, укротить несколько саженей почвы - великая победа. Вот теперь она лежит перед вами, работящая, сыпучая и теплая; вам хочется всю ее крошить и мять между пальцами, чтобы убедиться в своей победе; вы уже и не думаете о том, что на ней посеете. Разве мало прекрасна сама по себе эта темная и воздушная почва? Разве она не прекраснее какой-нибудь грядки анютиных глазок или моркови? Вы почти ревнуете к растительности, которая овладеет этим благородным человеческим делом, именуемым землей.
A od té doby už nepůjdeš po zemi nevěda, po čem šlapeš. Budeš okoušet dlaní i holí každou hromádku hlíny a každý kus pole, tak jako se jiný kouká po hvězdách, po lidech nebo po fialkách; budeš propukat v nadšení nad černou prstí, zamilovaně mnout hebkou lesní listovku, potěžkávat hutnou drnovku a vážit lehýnkou rašelinu. Panečku, budeš říkat, téhle bych tak chtěl mít vagon; a hrome, fůrka té listovky by mně dělala dobře; a tady ten humus, ten tak nasypat navrch, a tuhle pár těch kravinců, a drobátko toho říčního písku, a několik koleček té trouchnivé drti z pařezů, a tady trochu toho bahna z potoka, a tyhle seškrabky ze silnice by také nebyly zlé, což? A ještě nějaký ten fosfát a rohové piliny, ale tahle krásná ornice by mně také pásla, pane na nebi! Jsou půdy tučné jako špek, lehké jako peří, sypké jako dort, plavé i černé, suché i kypře nasáklé, což vše jsou přerůzné a ušlechtilé druhy krásy; kdežto ošklivé a ničemné je vše, co je mazlavé, hrudovité, mokré, tuhé, studené, jalové a dané člověku, aby zlořečil nevykoupené hmotě; což vše je stejně ošklivé jako studenost, zarytost a zlomyslnost lidských duší.	И с тех пор ты уже не пойдешь по земле, не ведая, по чему ступаешь. Ты будешь ладонью и палкой пробовать каждую кучку земли и каждый клочок поля, так же как другой смотрит на звезды, на людей или на фиалки; будешь приходить в восторг от чернозема, влюбленно мять мягкую лесную листовую землю, взвешивать плотную дерновую землю и легчайший торф. Вот, скажешь ты, вагон бы мне такой; а черт возьми, телега этой листовой земли мне бы очень пригодилась; а вот этот перегной я бы так и насыпал сверху, и сюда пару этих коровьих лепешек, и чуточку речного песку, и несколько тачек этой трухлявой крошки из пней, и немного ила из ручья, и вот эти соскребы с дороги тоже были бы неплохи, а? Да еще какой-нибудь фосфат и роговые опилки, но и эта прекрасная пашня мне бы тоже пришлась по сердцу, господи! Есть почвы жирные как сало, легкие как перо, сыпучие как торт, палевые и черные, сухие и мягко напитанные, и все это разные и благородные виды красоты; а безобразно и ничтожно все липкое, комковатое, мокрое, тугое, холодное, бесплодное и данное человеку для того, чтобы он проклинал неискупленную материю; и все это так же безобразно, как холодность, упрямство и злобность человеческих душ.
	
## Zahradníkův říjen ##	## Октябрь садовника ##
	
Ono se řekne říjen; ono se řekne, že příroda se ukládá k spánku; zahradník to ví líp a poví vám, že říjen je stejně dobrý měsíc jako duben. Abyste věděli, říjen je první jarní měsíc, měsíc podzemního rašení a klíčení, skrytého rozpuku, nalévajících se pupenů; jen trochu hrábněte do půdy, a najdete nadělaných puků, tlustých jako palec, a křehkých klíčků a dychtivého kořání – nic platno, jaro je tady, i vyjdi ven, zahradníče, a sázej (jen pozor, abys nepřekrojil rýčem rašící cibulku narcisu).	Легко сказать - октябрь; легко сказать, что природа укладывается спать; садовник знает лучше и скажет вам, что октябрь так же хорош, как апрель. Чтобы вы знали: октябрь - первый весенний месяц, месяц подземного распускания и прорастания, скрытого взрыва жизни, наливающихся почек; только чуть ковырните землю - и найдете наделанных почек, толстых как палец, и хрупких ростков, и жадных корешков... ничего не поделаешь, весна уже здесь, так что выходи, садовник, и сажай (только смотри, не перережь лопатой прорастающую луковицу нарцисса).
	
Tedy mezi všemi měsíci je říjen měsíc vysazování a přesazování. Za časného jara stojí zahradník nad svým záhonkem, ze kterého tu a tam začíná vykukovat nějaký ten hrotek pupenů, a říká si zamyšleně: Tady to mám drobet holé a prázdné, budu sem muset něco přisadit. Za nějaký měsíc stojí zahradník nad týmž záhonkem, na kterém mu zatím narostly dvoumetrové mrcasy delfinií, džungle řimbaby, prales zvonků a čertví čeho ještě, a říká si zamyšleně: Tady to mám drobet přerostlé a přehoustlé, budu to muset vytento, probrat a rozsadit. – V říjnu stojí zahradník nad týmž záhonkem, ze kterého tu a tam čouhá suchý list nebo holý stvol, a říká si zamyšleně: Tady to mám drobet holé a prázdné, já sem něco přisadím, takhle šest floxů nebo nějaký ten větší aster. I jde a učiní tak. Život zahradníkův je pln změny a činorodé vůle.	Итак, среди всех месяцев октябрь - месяц высадки и пересадки. Ранней весной садовник стоит над своей грядкой, из которой кое-где начинают выглядывать какие-то острия почек, и задумчиво говорит себе: тут у меня как-то пустовато, придется что-нибудь подсадить. Через месяц он стоит над той же самой грядкой, на которой тем временем выросли двухметровые махины дельфиниумов, джунгли ромашки, лес колокольчиков и черт знает чего еще, и задумчиво говорит себе: тут у меня как-то слишком густо и заросло, надо это как-нибудь того, проредить и рассадить. А в октябре садовник снова стоит над этой же грядкой, из которой теперь торчит то сухой лист, то голый стебель, и задумчиво говорит: тут у меня как-то пустовато, я сюда что-нибудь посажу, скажем шесть флоксов или какую-нибудь астру покрупнее. И идет и так делает. Жизнь садовника полна перемен и деятельной воли.
	
Bruče tajeným uspokojením nalézá zahradník v říjnu na své zahrádce holá místa. Safra, praví sám k sobě, tady mně nejspíš něco zašlo, počkejme, musím na tohle prázdné místo něco vsadit; například zlatobýl, nebo raději cimicifugu, tu ještě nemám, ale astilbe by se tu dělala nejlíp; jenže pro podzim by se mně sem pasovalo pyrethrum uliginosum, ale takhle kamzičník pro jaro by také nebyl špatný; halt, já si sem dám monardu – buď Sunset, nebo Cambridge Scarlet; copak o to, hemerocallis by se tu taky dělala dobře. Načež v hlubokém rozjímání se ubírá domů, cestou si ještě vzpomínaje, že i morina je vděčná bylinka, neřkuli coreopsis, ale ani betonika by nebyla k zahození; potom si honem objedná v některém zahradnictví zlatobýl, cimicifugu, astilbe, pyrethrum uliginosum, kamzičník, monardu, hemerocallis, morinu, coreopsis, betoniku a ještě k tomu připíše anchusu a šalvěj, pak několik dní zuří, že mu ty kytky nejdou a nejdou, potom mu jich pošťák přinese veliký koš, načež se vrhne s rýčem na ono holé místo. Prvním zarytím vypáčí chuchval kořenů, na kterých se nahoře tlačí celý trs tlustých pupenů. Ježíšmarjá, zasténá zahradník, vždyť já tu mám vysázený upolín!	Ворча от тайного удовольствия, садовник в октябре обнаруживает в своем садике пустые места. Так-так, говорит он сам себе, тут у меня, видно, что-то выпало, погодим, на это пустое место надо что-нибудь посадить; например золотарник, а лучше cimicifuga, ее у меня еще нет, но astilbe тут тоже была бы хороша; хотя на осень сюда лучше бы подошел pyrethrum uliginosum, но зато девясил для весны тоже был бы недурен; впрочем, я, пожалуй, посажу сюда monarda - либо Sunset, либо Cambridge Scarlet; а вообще hemerocallis тут тоже чувствовал бы себя неплохо. После чего в глубоком раздумье направляется домой, по дороге еще вспоминая, что и morina - благодарное растение, не говоря уж о coreopsis, но и betonica была бы кстати; потом поспешно заказывает в каком-нибудь садоводстве золотарник, cimicifuga, astilbe, pyrethrum uliginosum, девясил, monarda, hemerocallis, morina, coreopsis, betonica и еще дописывает anchusa и шалфей, затем несколько дней злится, что эти цветы все не идут и не идут, потом почтальон приносит ему большую корзину, после чего он бросается с лопатой на то самое пустое место. Первым же ударом он выворочивает клубок корней, над которым сверху теснятся целые пучки толстых почек. Боже мой, стонет садовник, да ведь у меня тут посажена купальница!
	
Ano, jsou náruživci, kteří chtějí mít na své zahrádce všecko, co náleží do šedesáti osmi rodů rostlin dvouděložných, patnácti jednoděložných, dvou nahosemenných – z tajnosnubných aspoň všechny kapraďovité, neboť s plavuněmi a mechy je kříž. Naproti tomu jsou náruživci ještě náruživější, kteří zasvětí svůj život jedinému druhu, ale ten chtějí a musejí mít ve všech dosud vypěstěných a pojmenovaných varietách. Tak například jsou cibuláři oddaní kultu tulipánů, hyacintů, lilií, chionodox, narcisů, tacet a jiných cibulovitých divů; dále primuláři a aurikulisti holdující výlučně prvosenkám, jakož i anemoniaci, zasvěcení řádu sasanek; dále irisníci čili kosatečníci, kteří by zahynuli žalem, kdyby neměli vše, co náleží do skupiny Apogon, Pogoniris, Regelia, Onocyclus, Juno a Xiphium, nepočítáme-li hybridy; jsou delphinisti, pěstující ostrožky, jsou růžaři čili rozariáni, kteří obcují jenom s paní Druschki, paní Herriotovou, paní Karolínou Testout, panem Wilhelmem Kordesem, panem Pernetem a četnými jinými osobnostmi, které se převtělily do růží; jsou fanatičtí floxisti čili filofloxové, kteří takhle v srpnu, kdy jim kvetou floxy, hlasitě pohrdají chryzantémany, což jim tito oplácejí v říjnu, když kvete Chrysanthemum indicum; jsou melancholičtí asterníci, kteří ze všech rozkoší života dávají přednost pozdním astrám, ale ze všech vášnivců nejdivočejší (ovšem krom kaktusářů) jsou jiřináři nebo georgiáni, kteří za nějakou novou americkou dahlii zaplatí závratnou sumu, třeba i dvacet korun. Z těchto všech jenom cibuláři mají jakousi historickou tradici, ba i svého patrona, a sice svatého Josefa, který, jak známo, má v ruce Lilium candidum, ačkoliv dnes už by si mohl opatřit Lilium Brownii leucanthum, jež je ještě bělejší. Proti tomu žádný svatý se nevyskytuje s floxem nebo s jiřinou; následkem toho jsou lidé oddaní kultu těchto květin sektáři a někdy zakládají i své vlastní církve.	Да, есть страстные люди, которые хотят иметь в своем садике все, что принадлежит к шестидесяти восьми родам двудольных растений, пятнадцати однодольных, двум голосеменным, а из споровых - по меньшей мере все папоротники, потому что с плаунами и мхами сплошная морока. Но есть и страстные люди еще более страстные, которые посвящают жизнь одному-единственному виду, зато хотят и должны иметь его во всех до сих пор выведенных и названных разновидностях. Так, например, есть луковичники, преданные культу тюльпанов, гиацинтов, лилий, хионодокс, нарциссов, тацетт и прочих луковичных чудес; далее примуляристы и аурикуляристы, поклоняющиеся исключительно первоцветам, а также анемониаки, посвященные ордену анемон; далее ирисники, или косаточники, которые умерли бы от горя, если бы не имели всего, что относится к группам Apogon, Pogoniris, Regelia, Onocyclus, Juno и Xiphium, не считая гибридов; есть дельфинисты, выращивающие живокости; есть розоводы, или розариане, общающиеся только с госпожой Druschki, госпожой Herriot, госпожой Karoline Testout, господином Wilhelm Kordes, господином Pernet и многими иными личностями, перевоплотившимися в розы; есть фанатичные флоксисты, или филофлоксы, которые в августе, когда у них цветут флоксы, громко презирают хризантеманов, а те платят им тем же в октябре, когда цветет Chrysanthemum indicum; есть меланхолические астровики, которые из всех радостей жизни предпочитают поздние астры, но из всех страстных людей самыми дикими (конечно, кроме кактусоводов) являются георгиноводы, или георгиане, которые за какую-нибудь новую американскую георгину платят головокружительную сумму, хоть двадцать крон. Из всех этих людей только луковичники имеют какую-то историческую традицию и даже своего покровителя, а именно святого Иосифа, который, как известно, держит в руке Lilium candidum, хотя теперь мог бы обзавестись и Lilium Brownii leucanthum, которая еще белее. А вот ни один святой не изображается с флоксом или георгиной; поэтому люди, преданные культу этих цветов, являются сектантами и иной раз даже основывают собственные церкви.
Proč by ty kulty neměly mít své Životy svatých? Dejme tomu představte si život svatého Georgina z Dahlie. Georginus byl ctnostný a zbožný zahradník, kterému se po dlouhých modlitbách podařilo vypěstit první jiřiny. Když se o tom dozvěděl pohanský císař Floxinián, zaplál vztekem a vyslal své biřice, aby zatkli zbožného Georgina. „Ty košťálníku,“ zahřímal na něho císař Floxinián, „teď se budeš klanět odkvetlým floxům!“	Почему бы этим культам не иметь своих Житий святых? Скажем, представьте себе житие святого Георгина из Далии. Георгин был добродетельным и благочестивым садовником, которому после долгих молитв удалось вывести первые георгины. Когда об этом узнал языческий император Флоксиниан, он вспыхнул яростью и послал своих палачей схватить благочестивого Георгина. "Ах ты, огородник! - загремел на него император Флоксиниан. - Сейчас ты будешь поклоняться отцветшим флоксам!"
„Nebudu,“ odpověděl pevně Georginus, „protože jiřiny jsou jiřiny a flox je jenom flox.“	Не буду, - твердо ответил Георгин, - потому что георгины - это георгины, а флокс - это только флокс.
„Rozsekejte ho,“ zařval ukrutný Floxinián; i rozsekali svatého Georgina z Dahlie a jeho zahradu zpustošili a posypali zelenou skalicí a sírou; ale z rozsekaných kusů těla svatého Georgina se udělaly hlízy všech příštích jiřin, a to pivoňkových, sasankových, jednoduchých, kaktusových, hvězdových, miňonek, pompón čili liliputek, rozet, kolaret i hybrid.	Разрубите его! - завопил жестокий Флоксиниан; и они разрубили святого Георгина из Далии, а его сад разорили и посыпали зеленым купоросом и серой; но из разрубленных кусков тела святого Георгина сделались клубни всех будущих георгин - и пионовидных, и анемоновидных, и простых, и кактусовых, и звездчатых, и миньон, и помпонных, то есть лилипуток, и розеточных, и воротничковых, и гибридных.
	
Takový podzim je přeúrodná doba; proti němu je jaro, abych tak řekl, drobet titěrné; podzim pracuje rád ve velkém měřítku. Stane se vám někdy, že by vám jarní fialinka narostla do tří metrů výšky nebo tulipán rostl a rostl, až by vám přerostl stromy? Tak vidíte; ale zato se vám přihodí, že si zjara zasadíte nějaký ten podzimní aster, a do října se vám z toho udělá dvoumetrový prales, do kterého se neodvážíte vkročit, protože byste už nenašli cestu ven; nebo vložíte v dubnu do půdy kořínek helenia nebo slunokvětu, a teď na vás jaksi ironicky kývají shůry zlaté květy, na které už nedosáhnete rukou, ani když se postavíte na špičky. To se přihází zahradníkovi co chvíli, že se trochu dostane z měřítka. Proto na podzim se provádí stěhování kytek; každého roku přenáší zahradník své perenky jako kočka koťata; každého roku si s uspokojením řekne: Tak, teď to mám všechno osázeno a v pořádku. Příštího roku si zas tak oddychne. Zahrádka není nikdy hotova. V tom směru je zahrádka podobna lidskému světu a všemu lidskému podnikání.	Такая осень - время сверхобильное; по сравнению с ней весна, так сказать, чуточку мелковата; осень любит работать в большом масштабе. Случается ли вам, чтобы весенняя фиалка вымахала в три метра высотой или тюльпан рос и рос, пока не перерос деревья? Вот видите; зато случается, что вы весной посадите какой-нибудь осенний астр, а к октябрю из него выйдет двухметровый лес, в который вы уже не отваживаетесь войти, потому что не нашли бы дороги обратно; или в апреле воткнете в землю корешок гелениума или подсолнечника, а теперь над вами как-то иронически кивают сверху золотые цветы, до которых вам уже не достать рукой, даже если встанете на цыпочки. Такое с садовником случается то и дело - чуть-чуть выпадет из масштаба. Поэтому осенью проводят переселение цветов; каждый год садовник переносит свои многолетники, как кошка котят; каждый год с удовлетворением говорит себе: ну, теперь у меня все засажено и в порядке. На будущий год он снова так вздохнет. Сад никогда не бывает готов. В этом отношении сад похож на человеческий мир и на всякое человеческое предприятие.
	
## O krásách podzimu ##	## О красотах осени ##
	
Mohl bych psát o hýřících barvách jeseně, o tesklivých mlhách, o duších zemřelých a o úkazech na nebi, o posledních astrách a červené růžičce, která se ještě snaží rozkvést; nebo o světélkách v soumraku, vůni hřbitovních svíček, suchém listí a jiných náladových věcech. Ale rád bych vydal svědectví a chválu jiné kráse našeho českého podzimu. Je to prostě řepa.	Я мог бы писать о пылающих красках осени, о тоскливых туманах, о душах умерших и о небесных знамениях, о последних астрах и красной розочке, которая еще пытается распуститься; или об огоньках в сумерках, запахе кладбищенских свечей, сухой листве и прочих настроенческих вещах. Но мне хотелось бы засвидетельствовать и восславить иную красоту нашей чешской осени. Это попросту свекла.
Žádná úroda země neexistuje tak hromadně jako řepa. Zrní se sváží do stodol a brambory do sklepů; ale řepa se sváží na hromady; shlukuje se v pahorky; vyrůstá v řepná pohoří vedle venkovských staniček. Vůz za vozem sváží bílé bulvy v nekonečném procesí; muži s lopatami od rána do večera vrší vyšší a vyšší hromady a rovnají je pěkně do geometrických pyramid. Každý jiný plod země se jaksi rozutíká všemi cestičkami pod všechny lidské střechy. Řepa se valí jediným proudem: k nejbližším kolejím vlaku; nebo k nejbližšímu cukrovaru. Je to úroda ve velkém; je to nástup en masse16; je to jako přehlídka vojska. Jsou to brigády, divize a armádní sbory, jež nastupují k transportu. Proto jsou srovnány ve vojenském pořádku; geometrie, to je krása masy. Řepaři budují své krechty jako monumentální hranaté stavby; stává se to skoro architekturou. Hromádka bramborů není stavba; ale hromada řepy, to už není kupa, to je budova. Městský člověk nemá zrovna rád řepné kraje; avšak nyní, na podzim, nabývají jakési monumentality. Taková pořádná pyramida řepy má něco uchvacujícího. Je to monument plodné země.	Никакой другой плод земли не существует так массированно, как свекла. Зерно свозят в амбары, картофель - в погреба; а свеклу свозят в кучи; она сбивается в холмы; вырастает в свекольные горы возле сельских станций. Телега за телегой везет белые корнеплоды в бесконечном шествии; мужчины с лопатами от утра до вечера громоздят все более высокие кучи и выстраивают их в правильные геометрические пирамиды. Всякий другой плод земли как-то разбегается по всем дорожкам под все человеческие крыши. Свекла катится одним потоком: к ближайшим железнодорожным путям; или к ближайшему сахарному заводу. Это урожай в большом стиле; это наступление en masse16; это как военный смотр. Это бригады, дивизии и армейские корпуса, выступающие к отправке. Потому они и выстроены в воинственном порядке; геометрия - это красота массы. Свекловоды строят свои кагаты как монументальные четырехугольные сооружения; это почти уже архитектура. Кучка картошки - еще не сооружение; а вот куча свеклы - это уже не куча, а здание. Городской человек не слишком любит свекольные края; но теперь, осенью, они приобретают какую-то монументальность. Такая порядочная пирамида свеклы заключает в себе что-то захватывающее. Это памятник плодородной земле.
	
Ale nechte mne, abych zapěl oslavu nejpovrženější kráse podzimu. Vím, že nemáte pole a nesvážíte řepu na velké hromady; ale mrvili jste už někdy zahrádku? Když toho člověku přivezou plný vůz a vyklopí toho teple dýmající kupu, chodíte kolem toho,	Но дайте же мне воспеть и самую презираемую красоту осени. Я знаю, у вас нет поля и вы не свозите свеклу в большие кучи; но удобряли ли вы когда-нибудь садик? Когда вам привезут целую телегу и свалят дымящуюся теплую кучу, вы ходите вокруг нее,
	
16 Hromadný nástup. Pozn. red. potěžkáváte to očima a nosem a říkáte uznale: „Pánbůh požehnej, to je pěkná mrva.“	16 Массовое наступление. Прим. ред. взвешиваете ее глазами и носом и одобрительно говорите: "Бог благослови, вот это хороший навоз".
„Pěkná,“ pravíte, „ale drobet lehká.“	Хороший, - говорите вы, - только слегка легковат.
„Samá sláma,“ míníte nespokojeně. „Je v tom málo hnoje.“	Одна солома, - замечаете вы недовольно. - "Навозу в нем маловато".
Jděte někam, vy, kdo si zacpáváte nos obcházejíce zdaleka tuto ušlechtilou a kyprou hromadu; nevíte, co je pěkná mrva. A když pak dostanou záhonky, co jim patří, má člověk trochu mystický pocit, že udělal zemi něco dobrého.	Ступайте прочь вы, кто, зажимая нос, обходите издали эту благородную и рыхлую кучу; вы не знаете, что такое хороший навоз. А когда грядки получают от него свою долю, человеку становится немного мистически радостно от того, что он сделал земле что-то хорошее.
	
Holé stromy, to není tak zoufalý pohled; vypadá to trochu jako koště nebo metla a trochu jako lešení připravené k stavbě. Ale je-li na takovém holém stromku poslední list chvějící se ve větru, je to jako poslední vlající praporek na bojišti, jako vlajka, kterou třímá ruka mrtvého na poli padlých. Padli jsme, ale nevzdali jsme se. Ještě vlají naše barvy.	Голые деревья - это еще не такое уж отчаянное зрелище; они немного похожи на метлу и немного на леса, приготовленные к строительству. Но если на таком голом деревце висит последний лист, дрожащий на ветру, то это как последний развевающийся флажок на поле боя, как знамя, которое держит рука мертвого среди павших. Мы пали, но не сдались. Наши цвета еще реют.
	
A ještě chryzantémy se nedaly. Jsou křehké a nadýchané, jen tak nahozené z bílé či růžové pěny, zkřehlé jako slečinky v tanečních šatech. Že je toho sluníčka pomálu? Že nás škrtí šedivá mlha? Že se přes nás plouhají sychravé deště? Vše jedno. Hlavně je třeba kvést. Jen lidé si naříkají do špatných poměrů; chryzantémy to nedělají.	И хризантемы все еще не сдаются. Они хрупкие и пушистые, будто наспех набросанные из белой или розовой пены, закоченевшие как барышни в бальных платьях. Ну и что, что солнышка мало? Ну и что, что нас душит серая мгла? Ну и что, что над нами ползут сырые дожди? Неважно. Главное - цвести. Только люди ноют на дурные обстоятельства; хризантемы этого не делают.
	
I bohové mají své sezony. V létě může být člověk panteistou, může se považovat za kus přírody; ale na podzim se může člověk považovat jenom za člověka. I když si neznamenáme čelo křížkem, vracíme se pomalu všichni k zrození člověka. Každý domácí oheň hoří na počest domácích bohů. Láska k domovu je stejný obřad jako uctívání nějakého hvězdného božstva.	И у богов есть свои времена. Летом человек еще может быть пантеистом, может считать себя частью природы; но осенью он может считать себя только человеком. Даже если мы не осеняем чело крестом, мы все понемногу возвращаемся к рождению человека. Каждый домашний огонь горит в честь домашних богов. Любовь к дому - такой же обряд, как поклонение какому-нибудь звездному божеству.
	
## Zahradníkův listopad ##	## Ноябрь садовника ##
	
Já vím, že je mnoho krásných povolání, například psát do novin, hlasovat v parlamentě, sedět ve správní radě nebo podpisovat úřední lejstra; ale jakkoliv to všechno je pěkné a záslužné, člověk při tom nedělá tu figuru a nemá tak monumentální, plastický a přímo sochařský postoj jako muž s rýčem. Pane, když tak stojíte na svém záhonku, jednou nohou opřen o rýč, stíraje si pot a pravě „Uf“, tu vypadáte rovnou jako alegorická socha; stačilo by vás pozorně vyrýt, vyzvednout i s kořínky a postavit na sokl s nápisem „Triumf práce“ nebo „Pán země“ nebo tak nějak. To říkám proto, že teď je k tomu zrovna čas, totiž k tomu rytí.	Я знаю, что есть множество прекрасных занятий, например писать в газеты, голосовать в парламенте, сидеть в совете директоров или подписывать казенные бумаги; но как бы все это ни было хорошо и похвально, человек при этом не производит той фигуры и не принимает такой монументальной, пластичной и прямо скульптурной позы, как человек с лопатой. Господи, когда так стоишь на своей грядке, опершись одной ногой на лопату, вытирая пот и говоря "уф", ты выглядишь прямо как аллегорическая статуя; оставалось бы только аккуратно выкопать тебя, поднять вместе с корнями и водрузить на пьедестал с надписью "Триумф труда" или "Властелин земли" или как-нибудь так. Я говорю это потому, что именно теперь время для этого, а именно для копания.
	
Ano, v listopadu se má obracet a kypřit půda; nabírat ji plným rýčem, to je tak chutný a labužnický pocit, jako byste nabírali plnou sběračkou, plnou lžicí jídlo. Dobrá půda, tak jako dobré jídlo, nesmí být ani příliš mastná, ani těžká, ani studená, ani tuze mokrá, ani tuze suchá, ani mazlavá, ani tvrdá, ani kruchá17, ani syrová; má být jako chleba, jako perník, jako buchta, jako kynuté těsto; má se rozsejpat, ale nemá se drobit; má pod rýčem rupnout, ale nemá mlaskat; nemá dělat lavice, ani hlavy, ani plástve, ani knedlíky, nýbrž když ji plným rýčem obrátíte, má libostí vzdychnout a rozpadnout se v hroudy a krupičkovou prsť. Toto pak jest půda chutná a jedlá, vzdělaná a šlechetná, půda hluboká a vlahá, propustná, dýchající a měkká, zkrátka dobrá půda, tak jako jsou dobří lidé; a jak známo, v tomto slzavém údolí už není nic lepšího.	Да, в ноябре следует переворачивать и рыхлить землю; набирать ее полной лопатой - это такое вкусное и гурманское чувство, словно ты зачерпываешь полным черпаком, полной ложкой еду. Хорошая почва, как и хорошая еда, не должна быть ни слишком жирной, ни тяжелой, ни холодной, ни чересчур мокрой, ни чересчур сухой, ни липкой, ни твердой, ни ломкой17, ни сырой; она должна быть как хлеб, как пряник, как булка, как подошедшее тесто; должна рассыпаться, но не распадаться в пыль; под лопатой должна хрустнуть, но не чавкнуть; не должна образовывать пласты, глыбы, соты или клецки, а должна, когда ее перевернешь полной лопатой, вздохнуть от удовольствия и распасться на комья и зернистую землю. Вот такая почва и есть вкусная и съедобная, культурная и благородная, почва глубокая и влажная, проницаемая, дышащая и мягкая, словом - добрая почва, как бывают добрые люди; а, как известно, в этой юдоли слез лучше уже ничего нет.
